classify,name,comment,star,price,address,commentlist
美食,MAKA MAKA玛卡玛卡滋蛋仔(五角场店),67                    条点评,四星商户,人均                                        ￥26,邯郸路399号D15-1号,口味8.2                                环境8.4                                服务8.4
美食,城市集市(合生汇店),226                    条点评,准五星商户,人均                                        ￥47,黄兴路2228号合生汇B2层城市集市,口味8.4                                环境8.5                                服务8.2
美食,甜蜜食堂(杨浦店),2                    条点评,准四星商户,人均                                    -,淞沪路100号,口味7.2                                环境7.2                                服务7.2
美食,许留山(合生汇店),375                    条点评,三星商户,人均                                        ￥35,翔殷路1099号合生汇4F,口味6.9                                环境7.2                                服务6.5
美食,汉蒸坊蒸汽海鲜主题餐厅(合生汇店),830                    条点评,四星商户,人均                                        ￥165,翔殷路1099号合生汇5F,口味7.9                                环境7.7                                服务7.9
美食,千里香馄饨面,15                    条点评,准四星商户,人均                                        ￥14,国定路125号,口味7.2                                环境7.1                                服务7.1
美食,REGENCY CLUB,1                    条点评,准四星商户,人均                                    -,国定东路86号,口味7.6                                环境7.2                                服务7.6
美食,星巴克(又一城店),1113                    条点评,四星商户,人均                                        ￥36,淞沪路8号,口味7.6                                环境7.4                                服务7.4
美食,TEPPANYAKI XIANG,我要点评,准四星商户,人均                                    -,淞沪路77号特力时尚汇F4,口味6.5                                环境6.9                                服务6.9
美食,百武西茶饮(合生汇店),33                    条点评,准四星商户,人均                                        ￥18,翔殷路1099号合生汇4层,口味6.9                                环境7.2                                服务7.1
美食,烧腊馆,3                    条点评,准四星商户,人均                                    -,邯郸路600号万达商业广场第一食品2楼,口味6.9                                环境7.0                                服务6.9
美食,夏の心情,2                    条点评,准四星商户,人均                                    -,淞沪路8号3层,口味6.9                                环境6.9                                服务6.9
休闲娱乐,梦想空间Dream Space影吧(五角场店),957                    条点评,五星商户,人均                                        ￥106,政旦东路36号4楼国济路口,总分9.3                                环境9.2                                服务9.1
美食,i juice果之满满(特力时尚汇店),7                    条点评,三星商户,人均                                    -,邯郸路600号万达商业广场特力时尚汇1层,口味6.8                                环境6.8                                服务6.7
休闲娱乐,快乐菲莉HappyFeelingDIY烘焙(合生汇店),174                    条点评,五星商户,人均                                        ￥116,五角场街道翔殷路1099号合生汇4楼25号,口味8.1                                环境8.0                                服务7.8
美食,意大利尚尼(东方商厦杨浦店),3                    条点评,三星商户,人均                                    -,四平路2500号东方商厦B1层,口味6.9                                环境6.8                                服务6.8
休闲娱乐,网鱼网咖(东方商厦店),126                    条点评,四星商户,人均                                        ￥30,四平路2500号东方商厦1楼,口味7.3                                环境7.5                                服务8.0
美食,刘氏无明矾油条(四平路店),3                    条点评,三星商户,人均                                    -,四平路2138附近,口味6.6                                环境6.6                                服务6.6
休闲娱乐,自助茶馆,7                    条点评,三星商户,人均                                    -,淞沪路65号,口味7.8                                环境7.7                                服务8.1
美食,江西近邻小厨,我要点评,该商户暂无星级,人均                                    -,安图路15号第一间,口味7.1                                环境7.1                                服务7.1
休闲娱乐,皇后酒吧,2                    条点评,四星商户,人均                                    -,淞沪路97号,口味7.7                                环境7.7                                服务7.5
美食,澳琳达,我要点评,该商户暂无星级,人均                                    -,淞沪路8号百联又一城购物中心B1,
休闲娱乐,爱车俱乐部 PPTV聚力游戏(苏宁生活广场店),我要点评,准四星商户,人均                                    -,邯郸路585号苏宁生活广场B1层,口味6.9                                环境6.8                                服务6.9
美食,苏州好再来,我要点评,该商户暂无星级,人均                                    -,国定路171一楼235摊位,口味6.9                                环境6.9                                服务6.9
休闲娱乐,单行道,我要点评,该商户暂无星级,人均                                    -,国定路与政法路交叉口西50米,
美食,Eimio(百联又一城店),我要点评,该商户暂无星级,人均                                    -,淞沪路8号百联又一城B1层,口味7.8                                环境8.0                                服务7.3
休闲娱乐,ppg酒吧,我要点评,该商户暂无星级,人均                                    -,淞沪路88号,总分6.3                                环境6.1                                服务5.9
美食,肯德基(万达店),16114                    条点评,四星商户,人均                                        ￥26,邯郸路608弄50号,口味8.2                                环境8.0                                服务7.9
购物,千百艺,我要点评,该商户暂无星级,人均                                        ￥268,五角场,质量7.6                                环境7.5                                服务7.2
购物,润re(百联又一城购物中心店),61                    条点评,五星商户,人均                                        ￥185,淞沪路8号百联又一城购物中心B1层,质量9.3                                环境9.3                                服务9.3
购物,名创优品(合生汇店),96                    条点评,准四星商户,人均                                        ￥45,翔殷路1099号合生汇B2层,质量7.9                                环境7.8                                服务7.1
购物,ETUDEHOUSE(百联又一城店),9                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城B1层,效果7.3                                环境7.2                                服务7.2
购物,智慧微菜场,1                    条点评,准四星商户,人均                                    -,国宾路85号,质量7.0                                环境6.9                                服务7.2
购物,adidas(合生汇店),13                    条点评,准四星商户,人均                                        ￥762,翔殷路1099号合生汇B1层,质量7.6                                环境7.6                                服务7.3
购物,izzue(合生汇店),9                    条点评,准四星商户,人均                                    -,黄兴路2228号上海合生国际广场地下一层B1-04-05号房屋,质量7.4                                环境7.2                                服务7.0
购物,添香防辐射服(宝大祥五角场店),52                    条点评,准四星商户,人均                                        ￥660,邯郸路600号万达商业广场内1楼童装区,质量7.1                                环境7.0                                服务7.1
购物,CHARLES & KEITH(百联又一城店),132                    条点评,准四星商户,人均                                        ￥409,淞沪路百联又一城B1楼,质量7.6                                环境7.8                                服务7.5
购物,蒸汽主义电子烟(百联又一城店),12                    条点评,四星商户,人均                                        ￥602,淞沪路8号百联又一城5层,质量7.9                                环境7.9                                服务7.9
购物,Avene(巴黎春天五角场店),54                    条点评,准四星商户,人均                                        ￥291,淞沪路1号巴黎春天1层,效果7.1                                环境6.9                                服务7.0
购物,HARBOR HOUSE(合生汇店),2                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇L2-13,产品6.9                                环境6.9                                服务6.9
购物,悦诗风吟五角场店,3                    条点评,准四星商户,人均                                    -,邯郸路662号,效果7.1                                环境7.1                                服务7.1
购物,SENDA森达(五角场又一城店),3                    条点评,准四星商户,人均                                    -,淞沪路8号又一城2楼,质量7.9                                环境7.9                                服务7.9
购物,ElizabethArden(巴黎春天店),41                    条点评,四星商户,人均                                        ￥513,淞沪路1号巴黎春天1层,效果7.7                                环境8.2                                服务7.7
购物,爱屋集物(五角场店),5                    条点评,三星商户,人均                                    -,淞沪路77号万达广场B1层,质量7.4                                环境7.3                                服务7.4
购物,AUPRES(巴黎春天店),11                    条点评,准四星商户,人均                                    -,淞沪路1号巴黎春天1层,效果7.5                                环境7.6                                服务7.5
购物,同仁堂上海(百联又一城店),7                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城B1层,质量7.5                                环境7.5                                服务7.1
购物,中国黄金(五角场),52                    条点评,四星商户,人均                                        ￥7313,淞沪路111号五角场万达广场珠宝城1楼,质量7.2                                环境7.2                                服务7.2
购物,熊本熊酷ma萌授权专卖店(五角场店),1                    条点评,三星商户,人均                                    -,特力时尚汇三楼,质量6.0                                环境6.0                                服务6.0
购物,金伯利钻石(五角场店),51                    条点评,五星商户,人均                                        ￥8505,淞沪路77号万达广场1层A-7号,质量7.0                                环境6.9                                服务6.6
购物,me&city kids,我要点评,三星商户,人均                                    -,淞沪路1号万达广场B1,质量7.0                                环境7.0                                服务6.6
购物,eland(扬族百货店),3                    条点评,准四星商户,人均                                    -,淞沪路8号扬族百货2层,质量7.5                                环境7.3                                服务7.5
购物,Calvin Klein(百联又一城购物中心店),9                    条点评,四星商户,人均                                    -,淞沪路8号百联又一城购物中心B1层,质量7.9                                环境7.9                                服务7.9
购物,teenmix天美意(川沙百联购物中心店),37                    条点评,准五星商户,人均                                        ￥315,川沙路5398号百联购物中心1楼,质量8.4                                环境8.4                                服务8.4
购物,圣迪奥(巴黎春天五角场店),21                    条点评,准四星商户,人均                                        ￥740,淞沪路1号巴黎春天3层,质量7.2                                环境7.1                                服务7.2
购物,PUMA(扬族百货店),19                    条点评,三星商户,人均                                    -,淞沪路8号百联又一城扬族百货5层,质量6.8                                环境6.7                                服务6.0
购物,Samsonite(合生汇店),7                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇2F,质量7.7                                环境7.7                                服务7.5
购物,周大生珠宝(巴黎春天店),2                    条点评,准四星商户,人均                                    -,淞沪路1号巴黎春天1层,质量7.4                                环境7.1                                服务7.7
购物,EVISU(合生汇店),13                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇2层,质量7.7                                环境7.9                                服务7.0
购物,SU素原创时尚银饰店(五角场万达店),11                    条点评,准四星商户,人均                                    -,邯郸路600号万达商业广场B1楼,质量7.0                                环境7.0                                服务7.0
购物,谭木匠(542店),36                    条点评,准四星商户,人均                                        ￥288,中环路七味烘焙旁,质量7.1                                环境6.8                                服务6.8
购物,上海复升唐装,1                    条点评,准四星商户,人均                                    -,政旦东路30-40号,质量7.3                                环境7.3                                服务7.3
美食,CandyLab糖果研究室(百联又一城购物中心店),170                    条点评,准四星商户,人均                                        ￥45,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境7.2                                服务7.2
购物,RAPIDO(百联又一城店),1                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城5层5F-9,质量7.2                                环境7.2                                服务7.2
美食,和番の丼飯(五角场店),5                    条点评,准四星商户,人均                                    -,国权东路172号,口味7.0                                环境7.2                                服务7.2
购物,口口照片书,2                    条点评,准四星商户,人均                                    -,淞沪路1号附近,质量7.2                                环境7.2                                服务7.2
美食,塔哈尔(五角场店),11168                    条点评,四星商户,人均                                        ￥131,政通路189号万达商业广场特力时尚汇4楼409B号铺,口味8.3                                环境8.4                                服务8.5
购物,亚一珠宝,1                    条点评,准四星商户,人均                                    -,百联又一城1楼,质量7.2                                环境7.2                                服务7.2
美食,Mr Nice好好先生餐厅(五角场店),11169                    条点评,四星商户,人均                                        ￥133,淞沪路8号百联又一城4楼S4-T25室,口味8.3                                环境8.4                                服务8.5
购物,Venilla Suite(合生国际店),我要点评,准四星商户,人均                                    -,黄兴路2228号上海合生国际广场地下一层B1-06-07-08号房屋,质量7.0                                环境6.9                                服务6.8
美食,洞子张老匠火锅(三号湾广场店),7276                    条点评,四星商户,人均                                        ￥86,国定路333号三号湾广场2层,口味8.3                                环境8.4                                服务8.5
购物,千姿花卉(五角场店),1                    条点评,准四星商户,人均                                    -,四平路2500号金岛大厦15楼,质量7.5                                环境7.1                                服务7.1
美食,鹿港小镇(特力时尚汇店),205                    条点评,四星商户,人均                                        ￥92,政通路189号特力时尚汇4F-2-A,口味8.3                                环境8.4                                服务8.5
购物,利郎,1                    条点评,准四星商户,人均                                    -,四平路2500号,质量7.1                                环境7.1                                服务7.1
美食,辣府(五角场店),886                    条点评,准四星商户,人均                                        ￥84,淞沪路98号平盛大厦3楼,口味8.3                                环境8.4                                服务8.5
购物,RobertadiCamerino(巴黎春天店),3                    条点评,准四星商户,人均                                    -,淞沪路1号巴黎春天1层,质量7.1                                环境6.9                                服务7.0
美食,王妃家(五角场店),783                    条点评,五星商户,人均                                        ￥235,政通路189号特力时尚汇1楼16-B,口味8.3                                环境8.4                                服务8.5
美食,爱咪欧冻酸奶Eimio(百联又一城购物中心店),774                    条点评,四星商户,人均                                        ￥24,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境7.2                                服务7.2
美食,海底捞火锅(五角场店),8152                    条点评,五星商户,人均                                        ￥352,邯郸路585号苏宁电器五层,口味8.3                                环境8.4                                服务8.5
美食,西树泡芙(第一食品店),54                    条点评,准四星商户,人均                                        ￥27,邯郸路600号第一食品1F,口味7.0                                环境7.2                                服务7.2
美食,哥老官重庆美蛙鱼头(五角场合生汇六哥店),12519                    条点评,五星商户,人均                                        ￥148,黄兴路2228号上海合生国际广场3F-045室,口味8.3                                环境8.4                                服务8.5
美食,桂满陇-十里风荷(合生汇店),11177                    条点评,准五星商户,人均                                        ￥125,黄兴路2188号合生汇L4层,口味8.3                                环境8.4                                服务8.5
美食,DQ(五角场万达影院店),81                    条点评,三星商户,人均                                        ￥23,邯郸路600号,口味7.0                                环境7.2                                服务7.2
美食,Hi味花甲(特力时尚汇店),828                    条点评,四星商户,人均                                        ￥32,邯郸路600号万达商业广场特力时尚汇1层,口味7.4                                环境7.6                                服务7.4
美食,红辣椒(杨浦店),21341                    条点评,五星商户,人均                                        ￥125,邯郸路399号财富大酒店A区2楼,口味8.3                                环境8.4                                服务8.5
美食,章鱼烧takoyaki,18                    条点评,准四星商户,人均                                    -,黄兴路2228号合生汇B2楼,口味7.0                                环境7.2                                服务7.2
美食,爱茜茜里意大利健康冰淇淋(百联又一城购物中心店),5087                    条点评,四星商户,人均                                        ￥36,淞沪路8号百联又一城购物中心B1层,口味7.4                                环境7.6                                服务7.4
美食,青花椒砂锅鱼(合生汇店),328                    条点评,准五星商户,人均                                        ￥125,翔殷路1099合生汇地下二层,口味8.3                                环境8.4                                服务8.5
美食,轻食主义(五角场店),3                    条点评,准四星商户,人均                                        ￥45,黄兴路2218号合生汇大厦22楼,口味7.0                                环境7.2                                服务7.2
美食,成都你六姐冒菜是一绝,136                    条点评,准四星商户,人均                                        ￥41,黄兴路2228号合生汇B2层城市集市C15商铺,口味7.4                                环境7.6                                服务7.4
美食,蟹榭(五角场合生汇商场店),3350                    条点评,准五星商户,人均                                        ￥125,翔殷路1099号合生汇2F51号,口味8.3                                环境8.4                                服务8.5
美食,古法传统牛肉汤,7                    条点评,准四星商户,人均                                        ￥14,国定路131号,口味7.0                                环境7.2                                服务7.2
美食,避风塘(百联又一城店),4387                    条点评,准四星商户,人均                                        ￥82,淞沪路8号百联又一城购物中心6层,口味7.4                                环境7.6                                服务7.4
美食,龙庭琇厨(上海店),1056                    条点评,五星商户,人均                                        ￥125,国定东路88号凯悦酒店7楼,口味8.3                                环境8.4                                服务8.5
美食,都可茶饮(百联又一城购物中心店),354                    条点评,准四星商户,人均                                        ￥10,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境7.2                                服务7.2
美食,woomy丸米寿司(万达店),311                    条点评,准四星商户,人均                                        ￥80,淞沪路77号万达广场A区B1层,口味7.4                                环境7.6                                服务7.4
美食,谷牛零度•牛小排烧肉,330                    条点评,准五星商户,人均                                        ￥125,邯郸路600号万达商业广场特力时尚汇4层,口味8.3                                环境8.4                                服务8.5
美食,鲜度拔群,23                    条点评,准四星商户,人均                                        ￥67,淞沪路77号万达广场B1层,口味7.0                                环境7.2                                服务7.2
美食,小宫山浩二芝士挞(合生汇店),528                    条点评,准四星商户,人均                                        ￥23,翔殷路1099号合生汇B2层,口味7.4                                环境7.6                                服务7.4
美食,快乐柠檬(五角场合生汇店),7                    条点评,准四星商户,人均                                    -,黄兴路2228号合生汇4楼,口味7.0                                环境7.2                                服务7.2
美食,味千拉面(万达广场店),416                    条点评,准五星商户,人均                                        ￥43,淞沪路77号万达广场A区B1层,口味7.4                                环境7.6                                服务7.4
美食,家有好面(合生汇店),358                    条点评,准四星商户,人均                                        ￥39,翔殷路1099号合生汇B2,口味7.4                                环境7.6                                服务7.4
美食,鹤越,1                    条点评,准四星商户,人均                                    -,五角场翔殷路,口味7.0                                环境7.2                                服务7.2
美食,COSTA COFFEE(五角场百联又一城店),377                    条点评,四星商户,人均                                        ￥38,淞沪路8号sm-2/sm-3,口味7.4                                环境7.6                                服务7.4
美食,麥播春餅(五角场店),473                    条点评,准四星商户,人均                                        ￥34,政通路189号万达广场B1,口味7.4                                环境7.6                                服务7.4
美食,世界茶饮(邯郸路店),7                    条点评,准四星商户,人均                                    -,邯郸路585号苏宁生活广场B1层1-2号,口味7.0                                环境7.2                                服务7.2
美食,必胜客(又一城店),1353                    条点评,准四星商户,人均                                        ￥77,凇沪路8号B1,口味7.4                                环境7.6                                服务7.4
美食,肯德基(淞沪店),324                    条点评,准四星商户,人均                                        ￥36,淞沪路8号7楼,口味7.4                                环境7.6                                服务7.4
美食,现磨咖啡(政旦东路店),93                    条点评,四星商户,人均                                        ￥17,政旦东路36号,口味7.0                                环境7.2                                服务7.2
美食,Godiva(百联又一城店),351                    条点评,四星商户,人均                                        ￥45,淞沪路8号B1层G09-B01-1-038,口味7.4                                环境7.6                                服务7.4
美食,赵崽儿川式面品(城市集市合生汇店),808                    条点评,准四星商户,人均                                        ￥33,黄兴路2228号合生汇B2层城市集市C2商铺,口味7.4                                环境7.6                                服务7.4
美食,左庭右院鲜牛肉火锅(特力时尚汇店),5016                    条点评,五星商户,人均                                        ￥130,邯郸路600号万达商业广场特力时尚汇4层,口味8.9                                环境8.5                                服务8.4
美食,爱晒蒸汽海鲜主题餐厅,1981                    条点评,准五星商户,人均                                        ￥162,五角场国济路30—16,口味8.9                                环境8.5                                服务8.4
美食,煲宫(五角场店),2918                    条点评,准五星商户,人均                                        ￥115,政旦东路36号2楼,口味8.9                                环境8.5                                服务8.4
美食,王品牛排(上海五角场店),3158                    条点评,准五星商户,人均                                        ￥385,淞沪路8号百联又一城7F,口味8.9                                环境8.5                                服务8.4
美食,琵琶蛮-咫尺姑苏(百联又一城店),3689                    条点评,准五星商户,人均                                        ￥97,淞沪路8号百联又一城购物中心7层,口味8.9                                环境8.5                                服务8.4
美食,METOOCATE米桃餐厅(五角场特力时尚汇店),879                    条点评,准五星商户,人均                                        ￥80,政通路189号特力时尚汇4F-14,口味8.9                                环境8.5                                服务8.4
美食,海达人蒸汽海鲜主题餐厅(合生汇店),4615                    条点评,准五星商户,人均                                        ￥175,翔殷路1099号合生汇4F,口味8.9                                环境8.5                                服务8.4
美食,伊秀寿司(合生汇店),2410                    条点评,准五星商户,人均                                        ￥120,翔殷路1099号合生汇5F,口味8.9                                环境8.5                                服务8.4
美食,蛙遇—十三香炭烧牛蛙(特力时尚汇店),2139                    条点评,准五星商户,人均                                        ￥89,政通路万达商业广场C座特力时尚汇4楼,口味8.9                                环境8.5                                服务8.4
美食,老香斋(五角场店),44                    条点评,准四星商户,人均                                        ￥26,邯郸路600号第一食品商店(近淞沪路,口味7.5                                环境6.8                                服务7.5
美食,南京大牌档(百联又一城店),14266                    条点评,准五星商户,人均                                        ￥65,淞沪路8号百联又一城购物中心6层,口味8.9                                环境8.5                                服务8.4
美食,武汉热干面(五角场店),3                    条点评,准四星商户,人均                                    -,国宾路91-4号,口味7.5                                环境6.8                                服务7.5
美食,嘻游记(合生汇店),6371                    条点评,准五星商户,人均                                        ￥127,翔殷路1099号合生汇4F,口味8.9                                环境8.5                                服务8.4
美食,摩提工房(黄兴路店),15                    条点评,准四星商户,人均                                        ￥20,黄兴路2228号合生汇B2,口味7.5                                环境6.8                                服务7.5
美食,巡湘记(合生汇店),1612                    条点评,准五星商户,人均                                        ￥96,翔殷路1099号合生汇4F,口味8.9                                环境8.5                                服务8.4
美食,9o后饭吧,7                    条点评,准四星商户,人均                                    -,淞沪路6O5号,口味7.5                                环境6.8                                服务7.5
美食,YK烧肉居酒屋,187                    条点评,准五星商户,人均                                        ￥129,翔殷路1099号合生汇5楼L5-03,口味8.9                                环境8.5                                服务8.4
美食,馍道传奇(太平洋森活天地店),8                    条点评,三星商户,人均                                    -,五角场淞沪路太平洋森活天地A-1-2-1,口味7.5                                环境6.8                                服务7.5
美食,金时代顺风大酒店(四平路店),4903                    条点评,准五星商户,人均                                        ￥138,四平路2500号东方商厦5楼,口味8.9                                环境8.5                                服务8.4
美食,养生粥,我要点评,三星商户,人均                                    -,四平路2085号,口味7.5                                环境6.8                                服务7.5
美食,来伊份(百联又一城二店),134                    条点评,准四星商户,人均                                        ￥57,淞沪路8号,口味7.5                                环境6.8                                服务7.5
美食,芒果香山(合生汇店),497                    条点评,四星商户,人均                                        ￥33,翔殷路1099号合生汇B2,口味7.4                                环境7.2                                服务7.2
美食,星巴克(五角场万达影城店),135                    条点评,准四星商户,人均                                        ￥35,上海五角场万达商业广场万达影城国宾路58号3楼,口味7.4                                环境7.2                                服务7.2
美食,Roots(合生汇店),1                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇2层,口味7.5                                环境6.8                                服务7.5
美食,味千拉面(又一城店),2158                    条点评,准四星商户,人均                                        ￥45,淞沪路8号百联又一城7层14、15、16室,口味7.4                                环境7.2                                服务7.2
美食,山崎面包(万达店),1447                    条点评,准四星商户,人均                                        ￥22,淞沪路77号万达广场1层D-08号,口味7.4                                环境7.2                                服务7.2
美食,love ice factory(五角场店),134                    条点评,准四星商户,人均                                        ￥24,淞沪路77号万达广场B1层,口味7.5                                环境6.8                                服务7.5
美食,TEAMORO爱你大肉（城市集市合生汇店）(合生汇店),79                    条点评,四星商户,人均                                        ￥25,翔殷路1099号合生汇B2层,口味7.4                                环境7.2                                服务7.2
美食,长白山韩国烧烤店(国定路),3503                    条点评,准五星商户,人均                                        ￥86,国定路346号2楼,口味8.6                                环境8.6                                服务8.6
美食,妯娌老鸭粉丝汤,130                    条点评,三星商户,人均                                        ￥19,苏宁电器B1层,口味7.5                                环境6.8                                服务7.5
美食,中街1946(城市集市合生汇店),303                    条点评,四星商户,人均                                        ￥16,黄兴路2228号合生汇B2层城市集市C16商铺,口味7.4                                环境7.2                                服务7.2
美食,将太无二(合生汇店),5222                    条点评,四星商户,人均                                        ￥154,翔殷路1099号合生汇三层L3-01,口味8.6                                环境8.6                                服务8.6
美食,瑞蜜可乌云冰淇淋(合生汇店),99                    条点评,准四星商户,人均                                        ￥33,翔殷路1099号合生汇B2,口味7.5                                环境6.8                                服务7.5
美食,果之满满鲜榨果蔬汁(五角场万达店),898                    条点评,四星商户,人均                                        ￥20,政通路189号万达商业广场特力屋1F25-3号,口味7.4                                环境7.2                                服务7.2
美食,大渝火锅(五角场万达店),3183                    条点评,准五星商户,人均                                        ￥123,邯郸路600号万达商业广场特力时尚汇1层,口味8.6                                环境8.6                                服务8.6
美食,VQ鲜榨果汁(万达广场五角场店),318                    条点评,四星商户,人均                                        ￥16,淞沪路77号万达广场B1层,口味7.5                                环境6.8                                服务7.5
美食,DQ(五角场万达店),4422                    条点评,四星商户,人均                                        ￥24,政通路189号万达广场特力时尚汇1楼,口味7.4                                环境7.2                                服务7.2
美食,bluefrog蓝蛙(五角场万达店),628                    条点评,准五星商户,人均                                        ￥135,淞沪路77号万达广场B区1层D-22、23、25-1号,口味8.6                                环境8.6                                服务8.6
美食,GONGCHA贡茶(百联又一城店),14                    条点评,三星商户,人均                                    -,淞沪路8号百联又一城B1层,口味7.5                                环境6.8                                服务7.5
美食,萨莉亚(特力时尚汇店),4598                    条点评,准四星商户,人均                                        ￥36,邯郸路600号万达商业广场特力时尚汇3层,口味7.4                                环境7.2                                服务7.2
美食,天辣绿色时尚餐厅(合生汇店),3276                    条点评,准五星商户,人均                                        ￥108,翔殷路1099号合生汇5F,口味8.6                                环境8.6                                服务8.6
美食,馍道传奇(城市集市合生汇店),73                    条点评,准四星商户,人均                                        ￥18,黄兴路2228号合生汇国际广场B2层城市集市B4商铺,口味7.5                                环境6.8                                服务7.5
美食,RB巡茶(合生广场店),579                    条点评,四星商户,人均                                        ￥19,黄兴路2228号合生国际广场B2-33A号,口味7.4                                环境7.2                                服务7.2
美食,大渝火锅(合生汇店),5936                    条点评,准五星商户,人均                                        ￥130,翔殷路1099号合生汇B1,口味8.6                                环境8.6                                服务8.6
