client_id,sex,birth_date,district_id
102,女,1958-09-10,74
103,男,1955-07-11,74
105,男,1980-05-26,31
106,女,1968-12-30,68
107,男,1972-06-23,1
108,男,1963-09-13,17
110,女,1967-04-13,2
112,男,1935-01-25,1
113,女,1940-08-15,1
114,女,1969-06-24,74
115,男,1969-12-24,74
116,男,1942-01-28,74
117,女,1936-09-20,74
118,男,1922-07-19,55
119,女,1922-02-28,55
120,男,1976-05-10,1
121,女,1978-10-29,41
122,女,1963-11-13,35
123,男,1969-02-12,11
124,男,1967-09-21,44
125,男,1936-10-31,37
126,女,1929-09-27,37
127,女,1950-12-27,21
128,女,1973-04-04,63
129,女,1947-05-31,64
130,男,1942-02-14,53
131,女,1977-01-31,53
132,男,1953-01-26,36
134,男,1932-01-18,6
135,女,1938-09-10,6
136,女,1921-01-26,55
137,男,1923-09-14,60
138,女,1972-10-21,54
139,女,1959-07-25,8
140,男,1961-06-06,8
141,男,1925-11-02,31
142,男,1937-06-21,68
143,男,1978-07-09,27
144,男,1958-12-06,65
145,男,1978-02-14,55
146,女,1961-12-19,31
147,女,1933-11-02,21
148,男,1940-12-25,21
149,男,1948-06-27,55
150,女,1980-09-27,2
151,女,1971-09-23,51
152,女,1945-12-02,29
153,女,1981-02-12,13
154,男,1933-08-27,74
155,女,1939-03-13,74
156,女,1930-07-22,54
157,女,1943-07-09,52
158,女,1945-07-03,40
159,男,1938-09-10,40
160,女,1942-04-26,64
161,女,1943-10-07,34
162,男,1941-10-17,65
163,男,1933-06-12,74
164,女,1962-04-04,70
165,男,1968-11-08,22
166,女,1961-10-22,22
167,女,1978-04-18,38
168,女,1976-11-05,24
169,男,1953-09-12,38
170,女,1946-06-16,38
171,男,1929-06-25,51
172,女,1935-10-05,51
173,女,1918-12-08,21
174,男,1978-11-10,10
175,男,1960-07-13,31
176,男,1929-03-11,4
178,男,1960-12-22,8
179,男,1980-12-29,43
180,男,1982-01-19,73
181,男,1967-07-06,76
182,女,1959-07-13,76
183,女,1978-03-19,1
184,男,1972-06-05,1
185,男,1954-05-30,77
186,女,1961-02-22,46
187,男,1942-08-23,58
188,男,1960-09-02,64
189,男,1919-08-10,11
190,女,1947-10-31,37
191,男,1954-09-03,37
192,男,1971-02-28,70
193,男,1962-05-01,1
194,女,1924-12-20,28
195,男,1919-11-18,74
196,女,1927-06-25,74
197,男,1933-04-25,30
198,男,1976-07-14,60
199,男,1923-06-21,29
200,女,1928-01-13,29
201,女,1930-08-19,17
202,女,1976-11-21,29
203,男,1962-06-10,31
204,女,1967-06-17,31
205,女,1942-06-15,4
206,女,1963-04-13,59
207,男,1932-05-20,46
208,女,1940-06-25,13
209,男,1935-08-20,13
210,男,1939-11-30,66
211,女,1945-06-28,66
212,男,1975-02-10,52
215,男,1967-09-24,71
216,男,1960-01-30,1
217,女,1974-12-22,59
218,女,1980-01-23,1
219,女,1964-04-02,60
221,女,1977-02-25,21
222,女,1972-06-29,47
223,女,1952-02-27,43
224,男,1955-05-11,77
225,男,1936-05-10,32
226,男,1942-06-16,1
227,女,1926-12-18,52
228,女,1956-03-16,48
229,男,1969-07-22,76
230,女,1967-03-10,74
231,男,1941-02-18,41
232,女,1921-06-17,55
233,女,1958-12-03,69
234,男,1955-06-21,69
235,女,1943-08-28,44
236,男,1961-09-01,70
237,女,1969-02-22,70
238,女,1961-11-28,6
239,女,1974-09-10,1
240,女,1929-06-17,34
241,男,1959-01-23,70
242,女,1961-08-01,17
243,男,1954-02-10,63
246,女,1970-12-28,67
247,男,1957-05-08,1
248,女,1969-12-12,61
249,男,1970-05-05,61
250,女,1979-11-25,8
251,女,1976-03-03,54
252,女,1969-09-01,37
253,女,1947-05-12,48
254,男,1963-05-30,28
255,女,1951-10-11,27
256,女,1963-02-27,73
257,女,1942-11-04,22
258,男,1937-05-31,22
259,男,1966-06-08,31
260,女,1962-02-24,31
261,女,1937-12-07,38
262,男,1945-11-25,77
263,男,1962-05-20,68
264,男,1978-08-22,28
265,女,1933-01-07,72
266,女,1967-08-28,19
267,男,1967-06-12,37
268,女,1982-05-02,39
269,女,1923-12-03,15
270,男,1947-03-08,46
271,女,1945-07-27,46
272,女,1944-10-25,70
273,女,1972-05-15,27
274,女,1970-11-25,17
275,女,1918-11-12,1
276,男,1957-06-11,1
277,女,1961-11-28,1
278,女,1972-12-27,22
279,男,1970-05-16,22
280,女,1969-12-18,45
282,女,1938-02-24,73
283,男,1933-11-04,73
284,男,1974-08-06,10
285,男,1954-06-03,72
286,女,1952-04-18,72
287,男,1980-09-09,50
288,男,1962-04-21,6
289,男,1958-03-27,54
290,男,1959-01-12,72
291,女,1955-04-27,72
292,女,1958-09-06,15
293,男,1943-09-27,69
294,男,1968-03-21,58
295,男,1939-03-27,12
296,男,1974-03-01,65
297,女,1924-03-15,65
298,男,1921-06-13,65
300,女,1957-07-30,1
301,男,1942-01-10,28
302,男,1971-02-23,56
303,男,1946-05-06,74
304,女,1934-03-11,19
305,男,1938-06-08,46
308,女,1976-06-12,68
309,女,1969-12-14,37
310,男,1950-04-16,11
311,女,1930-09-16,64
312,男,1924-07-03,2
313,女,1942-05-11,24
314,男,1945-03-22,24
315,男,1967-05-01,54
316,男,1955-04-28,75
317,女,1957-10-06,64
318,女,1943-04-02,15
319,女,1929-04-04,19
320,男,1934-11-12,19
321,女,1943-10-24,47
322,男,1933-02-01,38
323,女,1938-04-04,38
324,男,1960-12-03,3
325,男,1960-02-21,3
326,女,1967-09-18,27
327,男,1968-10-13,27
328,女,1918-01-24,1
329,男,1964-12-03,11
330,女,1944-08-05,65
331,男,1942-03-02,1
332,男,1978-07-25,29
333,男,1971-10-19,38
334,男,1969-10-31,32
335,女,1967-07-22,73
336,女,1964-02-11,39
337,男,1957-05-08,39
338,女,1951-06-19,8
339,男,1966-07-30,1
340,女,1970-08-19,1
341,男,1977-03-16,69
342,女,1972-06-30,69
343,男,1919-11-19,44
344,女,1963-07-16,54
345,男,1953-12-07,17
346,女,1960-11-02,17
347,男,1959-12-13,71
348,女,1953-01-24,71
349,女,1927-05-27,39
350,女,1925-04-02,25
351,男,1973-05-01,1
352,男,1940-08-27,56
353,男,1965-10-26,7
354,女,1922-04-27,49
355,男,1930-05-31,49
356,女,1979-12-07,1
357,男,1979-03-30,1
358,女,1959-06-26,7
359,男,1970-02-16,66
360,男,1943-04-27,49
361,女,1977-05-25,74
362,女,1950-04-27,35
363,男,1942-07-01,35
364,女,1942-12-05,54
365,男,1930-01-09,1
366,女,1936-11-10,1
367,女,1963-09-03,60
368,男,1968-10-14,60
369,女,1930-11-06,7
370,女,1956-01-05,71
371,男,1942-07-16,4
372,男,1932-04-03,34
373,男,1936-02-28,16
374,男,1967-06-14,26
375,女,1969-09-29,61
376,女,1973-01-08,14
378,男,1978-05-15,50
379,女,1983-10-13,50
380,男,1973-01-19,41
381,女,1977-01-26,73
382,男,1978-06-30,73
383,女,1939-05-17,15
384,男,1935-10-08,15
385,男,1948-03-24,45
386,男,1980-08-21,62
387,男,1927-06-06,76
388,女,1950-10-30,36
389,女,1974-06-30,47
390,女,1977-01-27,47
391,女,1933-05-22,47
392,女,1950-04-01,74
393,男,1956-08-31,74
394,女,1924-05-18,52
395,男,1919-07-05,52
396,男,1920-05-02,1
397,男,1930-03-27,75
398,女,1925-03-26,61
399,男,1952-04-14,45
400,男,1933-12-27,1
401,女,1928-11-19,1
402,男,1943-12-25,3
403,女,1973-05-26,42
404,男,1967-04-20,42
405,女,1934-10-19,65
406,男,1977-05-15,36
407,女,1975-05-27,73
408,女,1978-02-22,35
409,男,1925-06-18,74
410,男,1962-12-20,62
411,女,1941-04-14,17
412,男,1944-04-17,17
413,女,1972-11-18,49
414,女,1947-10-19,46
415,男,1945-04-01,46
416,女,1932-10-07,1
417,男,1930-06-10,1
418,男,1966-10-13,28
419,女,1970-10-07,64
420,男,1978-03-13,18
421,男,1965-07-31,54
422,男,1946-12-07,69
423,男,1957-06-23,37
424,男,1947-10-08,1
425,男,1948-02-12,25
426,男,1937-06-01,72
427,女,1941-09-14,72
428,女,1919-11-16,47
429,女,1981-01-20,50
430,男,1920-07-28,39
431,女,1927-10-01,24
432,女,1952-03-26,59
433,男,1955-02-07,62
434,女,1943-01-30,70
435,男,1967-10-23,20
436,男,1955-06-15,2
437,女,1920-01-17,11
438,男,1938-09-28,32
439,女,1968-09-12,51
440,女,1970-07-07,15
441,男,1959-09-14,1
442,女,1971-12-16,1
443,男,1971-12-20,1
444,女,1960-08-01,74
445,女,1947-04-27,1
446,男,1952-03-19,1
447,男,1946-09-04,23
448,女,1970-08-15,77
450,男,1953-11-27,25
451,男,1979-04-14,12
452,女,1953-10-22,55
453,男,1969-07-16,67
454,女,1949-06-15,38
455,男,1920-07-26,68
456,男,1940-02-28,25
457,男,1950-09-26,70
458,男,1961-07-24,68
459,女,1967-07-23,32
461,女,1970-08-13,68
462,男,1970-12-21,14
463,男,1944-04-05,38
464,女,1959-07-30,24
465,男,1952-09-01,5
466,女,1947-11-19,1
467,男,1950-04-17,1
468,男,1959-04-27,72
469,女,1970-10-13,59
470,女,1954-04-21,30
471,男,1977-01-11,44
472,男,1981-12-27,36
473,女,1939-09-25,1
474,男,1949-05-31,46
476,女,1947-06-01,1
477,男,1954-07-20,1
478,男,1978-06-21,21
479,男,1947-08-20,11
480,女,1946-01-24,11
481,男,1927-01-22,69
482,女,1934-01-22,69
483,男,1944-06-19,1
484,女,1959-09-13,28
485,男,1978-05-16,32
486,男,1944-04-12,68
487,女,1922-04-01,1
488,男,1917-08-02,1
489,男,1940-10-07,41
490,男,1950-10-23,55
491,男,1966-08-05,63
492,男,1935-10-26,72
493,女,1942-06-04,41
494,男,1980-05-19,1
495,女,1937-04-07,49
496,女,1951-05-21,70
497,男,1953-02-02,74
498,女,1948-01-15,74
499,女,1935-07-08,18
500,男,1971-01-06,1
501,男,1937-10-28,62
502,男,1919-12-08,6
503,男,1959-07-24,73
504,男,1979-08-01,36
505,男,1977-12-21,13
506,男,1946-08-16,75
507,男,1954-11-16,75
508,男,1971-04-28,53
509,男,1980-05-02,73
510,男,1976-04-15,12
511,男,1959-02-18,9
512,女,1965-08-03,60
513,女,1974-01-11,8
514,男,1968-11-15,8
515,男,1932-05-26,1
516,女,1930-04-27,1
517,男,1965-07-25,63
518,女,1979-04-28,54
519,男,1980-04-13,18
520,女,1947-09-27,46
521,男,1975-12-25,69
522,女,1956-03-04,1
523,男,1922-12-17,38
524,女,1963-01-02,30
525,男,1969-08-14,30
526,男,1964-02-01,43
527,女,1966-08-18,43
528,男,1977-02-11,37
529,男,1978-11-05,69
530,女,1957-09-27,29
531,男,1976-10-04,27
532,女,1980-09-03,27
533,女,1941-05-19,54
534,男,1957-07-22,74
535,男,1937-09-09,26
536,男,1939-08-25,47
537,男,1935-01-16,1
538,女,1948-05-10,5
540,男,1921-07-28,19
541,女,1927-03-09,19
542,女,1921-02-09,59
543,女,1958-04-15,11
544,男,1948-11-16,63
545,女,1973-10-11,75
546,男,1953-08-25,7
547,男,1949-03-31,54
548,男,1937-12-04,49
550,男,1961-11-30,7
551,女,1976-07-05,47
552,女,1934-05-08,1
553,男,1941-04-07,1
554,女,1925-04-19,30
555,男,1926-10-21,30
556,男,1946-07-08,29
557,男,1939-07-17,51
558,女,1920-07-05,43
559,女,1972-09-05,32
560,女,1967-12-16,71
561,女,1962-11-10,74
562,女,1975-09-22,49
563,女,1961-09-09,72
564,男,1955-01-24,72
565,女,1959-07-03,64
566,女,1946-03-05,47
567,男,1950-05-02,47
568,女,1960-07-19,8
569,男,1962-06-15,73
570,女,1941-01-31,61
571,男,1924-09-27,3
572,女,1920-08-04,3
573,男,1967-08-10,69
574,男,1972-12-25,1
575,男,1970-04-04,58
576,女,1974-05-12,58
577,女,1963-12-05,1
578,女,1977-07-07,23
579,女,1933-05-31,72
581,女,1949-02-04,70
582,男,1950-09-26,1
583,女,1965-01-01,75
584,女,1976-05-13,33
585,女,1942-02-21,40
586,男,1947-11-03,40
587,女,1945-07-08,25
588,女,1960-10-20,61
589,男,1961-09-17,45
590,男,1949-02-15,44
591,女,1974-10-29,65
592,男,1965-07-18,26
593,女,1954-07-10,60
596,男,1948-10-24,69
597,男,1943-02-22,55
598,男,1970-12-31,1
599,女,1977-05-18,1
601,男,1966-03-12,56
602,女,1965-01-16,56
603,女,1966-03-09,13
604,女,1965-07-31,1
605,女,1970-08-27,1
606,女,1949-01-25,10
607,男,1964-03-30,64
608,男,1972-08-31,67
609,男,1962-09-02,52
610,女,1979-08-10,74
611,男,1952-10-13,36
612,女,1960-11-10,36
613,女,1977-08-10,1
614,女,1947-02-03,14
615,女,1949-09-13,68
616,男,1975-01-01,58
617,男,1974-03-14,70
618,女,1932-03-16,57
619,男,1920-09-07,6
620,女,1918-02-13,6
621,男,1939-03-17,54
622,女,1931-11-23,74
623,男,1925-09-04,24
624,女,1932-07-26,24
625,女,1978-11-24,60
626,男,1980-04-13,9
627,男,1972-04-11,17
628,女,1970-05-27,17
629,男,1976-03-10,16
630,男,1952-03-03,61
631,女,1956-03-22,70
632,男,1946-03-16,67
633,女,1938-06-12,67
635,女,1927-06-29,17
636,男,1935-02-17,17
637,女,1970-12-15,39
638,女,1961-02-03,54
639,男,1978-08-02,31
640,男,1979-04-15,26
641,女,1962-07-04,40
642,男,1963-10-25,40
643,女,1949-06-13,1
644,女,1961-04-23,35
645,男,1925-12-21,14
646,女,1922-09-29,34
647,男,1929-04-06,34
648,女,1935-09-28,70
649,女,1978-05-02,13
651,女,1976-01-27,54
652,男,1938-12-08,61
653,女,1930-11-21,1
654,女,1942-05-17,64
655,男,1942-12-10,32
656,男,1956-06-06,1
657,女,1926-07-10,8
658,男,1926-12-21,8
659,男,1965-12-07,24
660,男,1923-03-22,16
661,女,1919-01-15,16
662,男,1945-08-07,5
663,男,1923-01-20,24
664,女,1980-03-19,77
665,女,1932-04-05,62
666,男,1982-05-23,26
667,女,1981-07-20,26
668,女,1942-12-25,1
669,女,1956-12-19,12
670,男,1959-01-21,1
671,女,1971-02-27,10
672,女,1929-11-09,46
673,男,1939-10-29,36
674,女,1927-01-11,11
675,男,1975-11-12,50
676,男,1953-02-07,70
677,男,1963-05-24,5
678,女,1933-05-28,39
679,男,1940-03-19,8
680,女,1940-05-09,8
681,男,1977-01-15,15
682,男,1979-10-21,18
683,女,1945-08-29,76
684,女,1976-04-10,3
685,女,1930-12-13,72
686,女,1971-10-03,32
687,男,1975-01-28,32
688,男,1954-05-04,1
689,男,1964-08-02,70
690,男,1942-11-07,38
691,女,1944-01-13,38
692,女,1936-01-11,74
693,男,1935-03-17,74
694,男,1936-02-28,29
695,男,1955-06-27,28
696,女,1952-12-01,28
697,男,1974-05-01,1
698,男,1954-02-27,75
699,女,1922-04-22,26
700,男,1929-11-20,12
702,女,1968-11-07,31
703,男,1959-04-26,4
704,男,1975-05-01,54
705,男,1938-12-10,19
706,男,1948-08-05,1
707,男,1941-12-14,1
708,女,1977-11-27,50
709,男,1934-12-29,1
710,男,1925-11-28,23
711,女,1963-08-16,48
712,男,1962-12-04,54
713,女,1980-03-29,20
714,男,1970-10-08,31
715,女,1952-01-15,1
716,女,1954-12-04,1
717,男,1968-05-02,54
718,女,1960-02-28,54
719,男,1974-08-09,46
720,男,1954-09-06,29
721,男,1940-02-15,43
722,女,1970-11-25,62
723,女,1957-07-26,12
724,女,1953-02-02,65
725,男,1956-12-11,75
726,男,1935-02-13,16
727,女,1930-07-20,32
728,男,1932-01-20,32
729,女,1969-03-17,63
730,男,1973-08-14,63
731,女,1979-01-22,74
732,男,1978-07-05,74
733,男,1978-07-28,46
734,女,1985-01-14,46
735,男,1973-11-26,1
736,女,1977-04-26,1
737,男,1952-11-04,74
738,男,1920-03-26,25
739,男,1942-04-16,72
740,男,1923-11-07,55
741,男,1941-07-09,74
742,女,1951-10-15,1
743,男,1941-02-17,1
744,男,1940-07-18,26
745,女,1966-02-14,52
746,男,1962-04-16,52
747,女,1953-08-20,24
748,男,1936-10-15,25
749,女,1933-07-29,25
750,女,1956-09-29,70
751,男,1959-03-09,70
752,男,1944-12-20,72
753,女,1940-09-24,72
754,女,1947-06-04,63
755,男,1947-11-21,72
756,男,1920-05-13,31
757,女,1970-12-20,71
758,女,1961-07-26,68
759,男,1955-05-20,29
760,女,1936-08-25,57
762,男,1937-04-20,21
763,女,1927-08-24,75
764,女,1955-10-13,49
765,男,1969-12-31,65
766,女,1926-07-03,1
767,男,1923-06-16,1
768,女,1931-09-23,32
769,男,1977-12-15,40
772,男,1944-12-10,64
773,男,1935-10-30,4
774,男,1973-03-03,70
775,女,1940-11-30,51
776,女,1953-05-03,1
777,男,1961-05-20,1
778,男,1940-06-04,13
779,女,1944-06-12,69
780,男,1924-02-26,3
781,男,1945-09-20,72
782,女,1963-03-18,5
783,女,1971-03-25,27
784,男,1964-12-28,27
785,男,1934-09-09,63
786,男,1978-09-06,53
787,男,1947-12-08,3
788,男,1974-09-03,47
789,男,1931-09-21,4
790,女,1967-05-09,63
791,女,1950-09-29,68
793,男,1978-02-04,21
794,女,1979-07-16,21
796,男,1919-08-30,1
797,男,1948-01-27,8
798,女,1940-02-12,27
799,男,1936-02-19,27
803,男,1951-02-15,35
804,女,1956-01-23,35
806,男,1980-04-22,60
807,女,1969-10-21,53
808,男,1963-11-28,31
809,男,1919-10-15,49
810,女,1945-09-24,58
811,男,1940-05-28,58
812,男,1940-12-06,39
813,男,1964-01-29,70
814,男,1959-10-01,19
815,女,1964-10-27,22
816,女,1958-02-01,17
818,男,1966-04-27,54
819,男,1958-07-08,74
820,女,1960-11-06,74
821,男,1948-05-12,49
822,女,1959-05-08,37
823,男,1956-10-24,41
824,男,1952-09-05,27
825,男,1977-04-02,74
826,男,1978-01-23,1
827,女,1965-09-04,10
828,男,1958-12-10,10
829,男,1957-05-19,24
830,男,1948-08-27,69
831,男,1948-05-02,2
832,女,1923-12-23,67
833,男,1960-06-11,5
834,男,1922-12-17,54
835,女,1943-10-20,28
836,男,1948-06-14,28
837,男,1974-10-14,71
838,女,1968-02-04,71
839,女,1955-05-18,47
840,男,1937-04-26,20
841,男,1981-02-10,69
842,女,1933-07-03,12
843,女,1957-09-03,54
844,男,1945-01-14,22
845,女,1953-01-30,22
846,男,1949-12-01,35
847,男,1979-12-25,49
849,女,1939-06-06,26
850,男,1969-09-21,19
851,男,1919-06-16,25
852,女,1916-06-04,25
853,男,1949-06-02,70
854,女,1941-11-02,72
855,男,1930-01-28,58
856,男,1919-01-22,23
857,男,1948-02-21,32
858,女,1959-03-29,47
859,女,1968-07-29,1
860,男,1967-12-08,1
861,女,1956-09-13,1
862,男,1952-01-05,30
863,女,1968-11-29,54
864,男,1953-03-27,11
865,女,1946-11-03,11
866,女,1975-11-24,38
870,男,1957-05-06,70
871,男,1974-03-11,76
872,男,1963-02-22,35
873,男,1944-01-05,60
874,女,1952-09-05,14
875,男,1956-12-07,14
876,男,1960-11-25,1
877,女,1927-01-21,5
878,男,1920-04-17,5
879,女,1943-12-08,38
880,男,1960-02-17,49
881,女,1975-02-22,5
882,女,1933-09-09,70
883,女,1920-01-06,75
884,男,1918-10-14,75
885,男,1923-02-08,34
886,男,1948-02-02,34
887,女,1973-11-28,66
888,男,1973-10-26,28
889,女,1981-10-24,54
890,男,1919-03-30,77
891,男,1931-01-31,33
892,女,1922-05-24,42
893,女,1935-10-23,43
894,男,1934-08-18,75
895,男,1970-07-03,39
896,女,1973-04-24,36
897,男,1981-03-25,36
898,女,1943-04-27,38
899,男,1944-02-13,38
900,男,1977-04-10,73
901,男,1919-12-21,39
902,男,1950-08-15,23
903,男,1934-03-06,31
904,男,1932-02-08,1
905,男,1940-10-23,38
906,男,1978-06-16,65
907,男,1948-03-11,51
908,女,1961-03-07,51
909,男,1975-09-07,23
910,男,1961-09-27,1
911,男,1939-11-28,43
912,男,1920-10-29,76
913,男,1938-11-18,1
914,女,1921-01-19,1
915,男,1975-05-03,12
916,男,1958-06-29,3
917,女,1973-09-16,25
918,男,1964-12-23,26
921,女,1954-02-13,7
922,女,1972-08-16,22
923,男,1978-08-22,22
924,男,1953-07-12,1
925,男,1959-08-13,54
926,男,1981-01-22,1
927,男,1974-10-26,1
928,女,1951-10-10,66
929,男,1935-04-23,30
930,女,1959-08-25,68
931,男,1968-06-07,16
932,男,1947-09-27,3
933,女,1978-03-11,33
934,男,1982-08-19,33
935,女,1946-05-17,42
936,男,1943-07-30,42
937,男,1931-11-14,1
938,女,1944-08-07,59
939,男,1952-08-03,21
940,男,1960-08-11,53
941,男,1935-10-05,10
942,女,1931-09-02,12
943,男,1936-09-26,12
944,男,1970-12-18,39
945,女,1977-01-10,39
946,男,1951-08-06,54
948,男,1924-04-22,49
949,男,1976-07-27,3
950,女,1965-04-12,76
951,男,1960-09-17,76
952,女,1951-05-01,63
953,男,1937-10-17,25
954,女,1942-10-20,1
955,男,1970-01-28,57
956,男,1966-10-21,1
957,女,1941-12-23,56
958,男,1942-05-04,56
959,女,1962-09-12,11
960,女,1957-04-13,16
961,女,1931-10-04,15
962,男,1966-02-19,19
963,女,1966-12-17,64
964,女,1953-10-21,10
965,女,1972-12-01,13
966,男,1978-09-02,13
967,男,1979-06-20,76
968,男,1957-02-17,69
970,男,1957-03-29,36
971,女,1919-01-01,46
972,男,1917-05-06,46
973,女,1970-10-06,14
974,男,1963-06-24,14
975,女,1959-07-12,1
976,女,1955-11-19,16
977,女,1926-05-10,76
978,女,1968-06-09,56
979,男,1966-11-18,56
980,男,1961-09-30,40
981,男,1960-06-28,5
984,男,1949-07-03,20
985,女,1947-01-13,20
986,男,1955-05-16,74
987,男,1952-05-20,60
988,女,1939-10-01,40
989,男,1933-08-15,40
990,男,1961-12-24,71
991,男,1941-06-27,32
992,男,1948-05-21,19
993,女,1969-10-31,44
994,男,1971-04-27,36
995,女,1973-10-30,36
996,女,1980-06-26,1
997,男,1950-11-11,59
998,女,1953-06-28,59
999,女,1966-09-01,74
1000,男,1961-10-27,74
1001,男,1947-04-14,44
1002,女,1944-03-08,42
1003,女,1937-10-31,31
1004,男,1957-09-25,3
1006,女,1942-06-28,46
1007,男,1938-01-05,46
1008,男,1956-07-06,6
1009,女,1962-04-27,33
1010,男,1955-08-16,33
1011,男,1939-07-13,16
1012,女,1966-02-13,70
1013,男,1973-03-12,70
1014,男,1931-02-08,1
1015,男,1934-03-13,62
1016,女,1940-07-21,62
1017,女,1943-02-12,6
1018,男,1945-02-28,53
1019,女,1946-12-22,14
1020,女,1977-05-10,72
1021,男,1977-08-05,2
1022,男,1940-07-23,31
1023,男,1938-12-28,1
1024,男,1956-03-29,25
1025,男,1964-07-08,15
1026,男,1979-08-12,57
1027,女,1940-11-04,1
1028,男,1934-10-02,1
1029,女,1954-03-16,1
1030,男,1947-10-11,1
1031,女,1968-12-11,2
1032,女,1938-10-30,1
1033,男,1937-10-14,1
1034,女,1974-11-11,52
1035,女,1971-03-28,13
1036,男,1976-12-06,13
1037,女,1965-11-01,1
1038,女,1961-09-23,69
1039,女,1980-10-11,70
1040,男,1960-06-17,1
1041,男,1961-07-05,72
1042,女,1966-09-25,17
1043,男,1963-11-16,17
1044,女,1971-09-13,9
1045,女,1947-12-24,60
1046,男,1975-08-24,1
1047,女,1963-07-11,16
1048,女,1974-10-03,70
1049,男,1942-11-11,1
1050,女,1971-07-01,27
1051,女,1971-08-26,73
1052,男,1964-03-11,56
1053,女,1958-06-03,56
1054,男,1924-08-20,63
1055,男,1919-05-17,4
1056,男,1963-06-19,1
1057,男,1939-02-21,52
1058,女,1975-08-01,9
1059,男,1960-06-03,26
1060,女,1957-12-17,26
1062,男,1975-01-08,16
1063,女,1976-06-12,16
1064,女,1951-02-03,1
1065,男,1957-11-26,2
1066,男,1940-10-18,1
1067,男,1952-05-14,1
1068,女,1926-10-20,13
1069,女,1938-02-21,54
1070,男,1938-12-02,54
1071,男,1925-01-25,43
1072,女,1966-12-08,60
1073,男,1924-04-10,34
1074,女,1928-08-25,34
1075,女,1934-06-04,65
1076,女,1979-05-11,53
1077,男,1920-06-23,46
1078,女,1978-12-15,24
1079,男,1961-07-15,3
1080,女,1950-10-06,54
1081,男,1970-12-16,71
1082,男,1967-02-23,9
1083,男,1937-12-15,48
1084,女,1944-04-09,48
1085,女,1932-12-19,60
1086,男,1973-05-04,74
1087,女,1978-07-30,74
1088,女,1969-08-23,47
1089,男,1939-12-09,1
1090,女,1939-06-20,35
1091,女,1940-06-27,59
1092,女,1962-07-20,41
1093,女,1976-07-28,62
1094,女,1960-10-04,30
1095,男,1954-02-16,30
1096,女,1926-03-03,1
1097,男,1930-09-02,1
1098,女,1948-09-10,60
1099,女,1979-11-21,65
1100,男,1951-07-04,59
1101,男,1946-06-22,74
1102,男,1935-01-29,72
1103,男,1951-08-18,1
1104,女,1955-02-09,1
1105,男,1942-01-03,56
1106,女,1940-02-25,56
1107,男,1961-04-26,60
1108,女,1955-12-22,62
1109,女,1931-09-01,58
1110,女,1928-03-24,10
1111,男,1979-06-04,61
1112,女,1930-07-25,13
1113,男,1976-08-20,11
1114,男,1980-06-18,59
1115,女,1920-08-24,36
1116,女,1973-04-19,69
1117,女,1976-11-01,20
1118,男,1969-11-03,20
1119,女,1980-01-05,54
