account_id,district_id,frequency,date
1750,1,月结,1993-01-26
2023,68,月结,1993-01-26
6473,12,月结,1993-01-26
1649,46,月结,1993-01-26
2670,13,月结,1993-01-27
1127,27,月结,1993-01-27
163,30,月结,1993-01-27
2566,48,月结,1993-01-27
9,70,月结,1993-01-27
1144,59,月结,1993-01-28
2902,32,月结,1993-01-28
4296,63,月结,1993-01-28
443,64,月结,1993-01-28
3693,61,月结,1993-01-29
2070,72,月结,1993-01-29
1843,12,月结,1993-01-30
2714,1,月结,1993-01-30
4078,40,月结,1993-01-30
1675,36,月结,1993-02-01
5868,44,月结,1993-02-02
1805,1,月结,1993-02-02
2434,17,月结,1993-02-02
3007,16,月结,1993-02-02
2574,68,月结,1993-02-02
862,64,周结,1993-02-02
1132,1,周结,1993-02-03
4484,54,月结,1993-02-03
943,1,月结,1993-02-03
3514,7,月结,1993-02-03
3983,67,月结,1993-02-04
9265,1,月结,1993-02-04
465,32,月结,1993-02-04
982,54,月结,1993-02-05
411,70,月结,1993-02-05
890,14,月结,1993-02-05
627,63,月结,1993-02-05
2429,61,月结,1993-02-06
3960,64,月结,1993-02-06
2256,48,月结,1993-02-06
8051,1,周结,1993-02-07
2647,73,月结,1993-02-08
2241,6,月结,1993-02-08
5622,70,月结,1993-02-08
2884,1,月结,1993-02-08
1830,10,月结,1993-02-08
7753,74,月结,1993-02-08
244,24,月结,1993-02-08
1477,1,月结,1993-02-08
4240,50,月结,1993-02-08
1006,6,月结,1993-02-08
830,74,月结,1993-02-08
9188,45,月结,1993-02-08
1965,57,交易之后马上,1993-02-08
1134,6,月结,1993-02-09
1601,10,月结,1993-02-09
2861,38,月结,1993-02-10
813,16,月结,1993-02-10
2585,75,月结,1993-02-10
2220,16,月结,1993-02-10
2763,64,月结,1993-02-11
2342,51,月结,1993-02-11
1944,72,月结,1993-02-12
1966,27,月结,1993-02-12
1801,46,月结,1993-02-13
2543,68,月结,1993-02-13
2293,31,月结,1993-02-13
11013,1,周结,1993-02-14
2423,30,月结,1993-02-14
142,51,月结,1993-02-15
3424,74,月结,1993-02-16
539,13,交易之后马上,1993-02-16
979,21,月结,1993-02-16
3554,66,月结,1993-02-16
3545,51,月结,1993-02-17
3047,16,月结,1993-02-17
3374,21,月结,1993-02-17
96,68,月结,1993-02-18
461,30,月结,1993-02-18
3593,1,月结,1993-02-18
3026,24,月结,1993-02-18
1054,10,月结,1993-02-19
2433,71,月结,1993-02-19
3691,50,月结,1993-02-19
3787,70,月结,1993-02-19
128,2,月结,1993-02-19
3168,39,月结,1993-02-20
4937,12,月结,1993-02-20
2124,69,月结,1993-02-20
322,1,月结,1993-02-20
4355,31,月结,1993-02-21
1678,1,月结,1993-02-22
2396,2,月结,1993-02-22
1005,54,周结,1993-02-23
697,28,月结,1993-02-23
925,59,月结,1993-02-23
2110,64,月结,1993-02-23
1366,60,月结,1993-02-24
1050,57,交易之后马上,1993-02-24
3117,33,月结,1993-02-24
562,50,月结,1993-02-25
5369,54,月结,1993-02-25
2242,7,周结,1993-02-25
197,1,月结,1993-02-25
496,69,月结,1993-02-26
2,1,月结,1993-02-26
7401,1,月结,1993-02-26
2486,1,月结,1993-02-27
428,1,月结,1993-02-27
3651,23,月结,1993-02-27
1775,17,月结,1993-02-27
1688,70,月结,1993-02-27
361,51,月结,1993-02-27
1829,43,月结,1993-02-27
1575,1,月结,1993-02-27
9203,70,月结,1993-02-27
3008,72,月结,1993-02-27
239,69,周结,1993-03-01
3302,21,月结,1993-03-02
415,25,月结,1993-03-03
3513,20,月结,1993-03-03
4134,7,月结,1993-03-03
1077,14,月结,1993-03-03
1713,43,月结,1993-03-03
1378,59,月结,1993-03-04
2503,1,月结,1993-03-05
559,46,月结,1993-03-05
6555,38,周结,1993-03-05
744,42,月结,1993-03-06
882,9,月结,1993-03-06
86,54,月结,1993-03-07
1126,56,月结,1993-03-08
2666,49,月结,1993-03-08
944,70,月结,1993-03-08
1545,1,月结,1993-03-08
2453,1,月结,1993-03-08
3734,43,月结,1993-03-08
3935,23,月结,1993-03-08
396,21,月结,1993-03-08
2694,7,月结,1993-03-08
4596,74,月结,1993-03-09
2489,72,月结,1993-03-09
2895,19,月结,1993-03-09
317,76,月结,1993-03-10
2555,53,月结,1993-03-10
494,60,月结,1993-03-11
2219,60,月结,1993-03-11
2581,72,月结,1993-03-11
112,6,月结,1993-03-12
3674,38,月结,1993-03-12
2039,44,月结,1993-03-12
2712,9,月结,1993-03-12
395,1,月结,1993-03-12
2974,9,月结,1993-03-13
123,21,月结,1993-03-13
9640,1,月结,1993-03-13
3108,53,月结,1993-03-14
2508,34,月结,1993-03-14
2458,40,周结,1993-03-14
588,66,月结,1993-03-14
7231,10,月结,1993-03-14
6701,49,周结,1993-03-15
3883,72,月结,1993-03-15
222,37,月结,1993-03-15
2497,65,月结,1993-03-16
1372,1,月结,1993-03-16
3835,50,月结,1993-03-16
7445,64,月结,1993-03-18
2527,38,月结,1993-03-19
425,9,月结,1993-03-19
860,1,月结,1993-03-19
6034,6,周结,1993-03-19
11065,11,月结,1993-03-19
9883,1,月结,1993-03-19
115,68,月结,1993-03-19
1189,59,月结,1993-03-19
3675,64,月结,1993-03-20
3069,66,月结,1993-03-20
2762,19,月结,1993-03-20
892,70,月结,1993-03-20
1535,46,月结,1993-03-20
2618,60,月结,1993-03-21
2651,2,月结,1993-03-21
5442,34,月结,1993-03-22
1787,30,周结,1993-03-22
1397,17,月结,1993-03-22
3785,10,月结,1993-03-24
623,1,月结,1993-03-24
8260,31,月结,1993-03-24
3678,1,月结,1993-03-24
3001,1,月结,1993-03-24
655,53,月结,1993-03-24
4093,1,月结,1993-03-25
3260,68,月结,1993-03-25
2528,65,月结,1993-03-25
2011,75,月结,1993-03-25
1721,68,月结,1993-03-25
1332,59,月结,1993-03-25
1402,74,月结,1993-03-26
3283,68,月结,1993-03-26
3781,31,月结,1993-03-26
7203,71,月结,1993-03-26
1065,72,月结,1993-03-27
3076,54,月结,1993-03-27
4347,1,月结,1993-03-27
1157,7,月结,1993-03-27
9403,1,周结,1993-03-27
1874,9,月结,1993-03-27
1115,34,月结,1993-03-27
3586,59,月结,1993-03-27
62,47,月结,1993-03-28
1771,69,月结,1993-03-28
5483,13,月结,1993-03-28
8330,48,月结,1993-03-28
187,5,月结,1993-03-28
423,12,月结,1993-03-28
6425,31,月结,1993-03-29
2493,62,月结,1993-03-29
2896,29,月结,1993-03-30
2245,29,月结,1993-03-30
3923,52,月结,1993-03-30
1898,70,月结,1993-04-01
3367,1,月结,1993-04-01
3391,74,月结,1993-04-01
8519,23,月结,1993-04-02
1780,1,月结,1993-04-02
3915,65,月结,1993-04-02
3980,75,月结,1993-04-03
4350,63,月结,1993-04-04
686,41,月结,1993-04-04
362,15,月结,1993-04-04
299,77,月结,1993-04-05
2488,5,月结,1993-04-06
2985,71,月结,1993-04-06
385,5,月结,1993-04-07
2817,56,月结,1993-04-07
2056,58,月结,1993-04-07
2002,1,月结,1993-04-08
748,10,月结,1993-04-08
220,72,月结,1993-04-09
1422,68,月结,1993-04-09
1147,44,月结,1993-04-10
3788,70,月结,1993-04-10
1891,32,月结,1993-04-10
1239,1,月结,1993-04-10
8321,77,月结,1993-04-12
3213,51,月结,1993-04-12
2838,3,周结,1993-04-13
3644,38,月结,1993-04-13
4318,33,周结,1993-04-13
2648,51,月结,1993-04-13
2313,26,周结,1993-04-13
5428,24,月结,1993-04-14
7123,64,交易之后马上,1993-04-14
279,39,月结,1993-04-14
104,37,月结,1993-04-15
497,55,月结,1993-04-15
1152,45,月结,1993-04-15
83,26,月结,1993-04-16
2008,52,月结,1993-04-16
3327,45,月结,1993-04-16
5740,43,月结,1993-04-16
8132,5,周结,1993-04-17
10738,45,周结,1993-04-17
2216,74,月结,1993-04-17
1815,66,月结,1993-04-17
2823,57,月结,1993-04-18
4321,47,月结,1993-04-18
1773,33,月结,1993-04-19
7454,4,月结,1993-04-19
188,54,月结,1993-04-20
10973,18,周结,1993-04-20
2599,48,月结,1993-04-20
1166,11,月结,1993-04-21
504,73,月结,1993-04-21
1518,67,月结,1993-04-21
2189,75,月结,1993-04-22
6040,1,月结,1993-04-22
2876,52,月结,1993-04-22
1505,69,月结,1993-04-23
6897,48,月结,1993-04-23
4377,28,月结,1993-04-24
717,75,月结,1993-04-24
9707,70,月结,1993-04-24
2814,72,月结,1993-04-25
3068,59,月结,1993-04-25
1476,61,月结,1993-04-26
897,38,月结,1993-04-26
977,1,月结,1993-04-26
2639,17,月结,1993-04-26
1032,11,月结,1993-04-26
928,20,月结,1993-04-26
168,31,月结,1993-04-27
2175,1,月结,1993-04-27
10105,55,月结,1993-04-28
1392,60,月结,1993-04-28
3697,45,月结,1993-04-29
5313,40,月结,1993-04-29
2222,47,月结,1993-05-01
2641,7,月结,1993-05-02
5423,15,月结,1993-05-02
2609,73,月结,1993-05-03
5472,1,月结,1993-05-04
2932,72,月结,1993-05-04
4254,70,月结,1993-05-04
3965,31,月结,1993-05-04
10656,8,月结,1993-05-05
887,1,月结,1993-05-05
4743,64,月结,1993-05-05
1048,35,月结,1993-05-05
1671,6,月结,1993-05-05
1236,19,月结,1993-05-05
1822,30,月结,1993-05-05
3316,28,月结,1993-05-06
2037,20,月结,1993-05-06
10079,62,月结,1993-05-06
3999,35,月结,1993-05-06
551,77,月结,1993-05-07
1200,33,月结,1993-05-07
1161,66,月结,1993-05-08
5372,48,月结,1993-05-08
3050,60,月结,1993-05-08
1784,59,月结,1993-05-08
1603,1,月结,1993-05-09
1887,68,月结,1993-05-09
1644,1,月结,1993-05-09
1658,73,月结,1993-05-10
44,32,月结,1993-05-10
1039,70,周结,1993-05-10
1071,68,周结,1993-05-10
2410,54,月结,1993-05-11
2523,10,月结,1993-05-11
790,54,月结,1993-05-11
2583,62,月结,1993-05-11
1782,8,月结,1993-05-12
751,3,月结,1993-05-12
2061,24,月结,1993-05-12
8261,13,月结,1993-05-12
2321,35,月结,1993-05-13
1334,74,月结,1993-05-14
3649,54,月结,1993-05-14
555,24,月结,1993-05-15
3173,39,月结,1993-05-15
863,71,月结,1993-05-16
3181,42,月结,1993-05-16
3210,1,月结,1993-05-17
489,16,月结,1993-05-17
947,59,月结,1993-05-17
3284,64,月结,1993-05-17
1610,52,月结,1993-05-17
4225,55,月结,1993-05-18
1412,64,月结,1993-05-18
1937,36,月结,1993-05-18
991,39,月结,1993-05-18
1180,20,月结,1993-05-19
2758,70,月结,1993-05-19
2711,58,月结,1993-05-19
1652,74,月结,1993-05-20
3099,70,月结,1993-05-20
11111,1,月结,1993-05-20
9591,74,月结,1993-05-20
9828,11,月结,1993-05-20
5385,44,周结,1993-05-21
23,30,月结,1993-05-22
2645,54,月结,1993-05-22
2991,19,月结,1993-05-22
3469,76,月结,1993-05-22
1851,55,月结,1993-05-23
3844,67,月结,1993-05-23
1442,23,月结,1993-05-23
3064,40,月结,1993-05-23
3558,4,月结,1993-05-23
1534,1,月结,1993-05-24
334,1,月结,1993-05-24
1786,1,月结,1993-05-25
1272,40,周结,1993-05-25
2436,67,月结,1993-05-25
3796,53,月结,1993-05-25
119,27,月结,1993-05-25
3063,72,月结,1993-05-26
18,43,周结,1993-05-26
11320,44,月结,1993-05-26
3888,39,月结,1993-05-27
1584,30,月结,1993-05-27
5546,43,月结,1993-05-28
2029,55,月结,1993-05-29
10911,1,周结,1993-05-29
2467,33,月结,1993-05-29
2962,1,月结,1993-05-30
165,25,月结,1993-06-01
1617,45,月结,1993-06-01
327,54,月结,1993-06-02
2068,21,月结,1993-06-02
4448,60,月结,1993-06-02
640,32,月结,1993-06-02
510,1,周结,1993-06-02
2534,61,月结,1993-06-03
1018,7,月结,1993-06-03
1285,65,月结,1993-06-04
3670,27,月结,1993-06-04
1743,51,月结,1993-06-04
3072,8,月结,1993-06-05
2146,31,月结,1993-06-05
4576,27,月结,1993-06-05
3258,53,月结,1993-06-05
2176,67,月结,1993-06-06
8934,51,月结,1993-06-06
1999,70,月结,1993-06-06
2741,15,月结,1993-06-07
4427,32,月结,1993-06-07
3682,70,月结,1993-06-07
2862,33,月结,1993-06-07
3032,5,月结,1993-06-07
701,69,月结,1993-06-08
6281,56,月结,1993-06-08
306,16,月结,1993-06-08
1207,67,月结,1993-06-08
1247,25,月结,1993-06-08
5343,64,月结,1993-06-08
5129,68,月结,1993-06-08
3713,14,周结,1993-06-08
2327,19,月结,1993-06-08
774,1,月结,1993-06-08
1990,1,月结,1993-06-09
2388,30,月结,1993-06-09
3566,21,月结,1993-06-09
10266,54,月结,1993-06-10
3771,22,月结,1993-06-11
1978,57,周结,1993-06-11
2022,72,月结,1993-06-11
3542,49,月结,1993-06-11
1515,11,月结,1993-06-11
4171,28,月结,1993-06-12
433,20,月结,1993-06-12
1373,47,月结,1993-06-12
3246,54,月结,1993-06-14
1475,1,周结,1993-06-14
3133,66,月结,1993-06-14
2779,73,月结,1993-06-15
135,75,月结,1993-06-15
446,50,月结,1993-06-15
9093,47,月结,1993-06-16
432,46,月结,1993-06-16
2880,71,月结,1993-06-16
5767,72,月结,1993-06-16
1998,1,月结,1993-06-17
2554,36,月结,1993-06-18
2933,10,月结,1993-06-18
773,15,月结,1993-06-19
4894,14,月结,1993-06-20
3969,39,月结,1993-06-20
1277,31,月结,1993-06-20
5120,1,月结,1993-06-21
738,34,月结,1993-06-21
1299,1,月结,1993-06-21
148,8,月结,1993-06-21
899,72,月结,1993-06-21
3521,75,月结,1993-06-22
3786,21,月结,1993-06-22
886,1,月结,1993-06-23
5228,77,交易之后马上,1993-06-23
702,12,月结,1993-06-23
300,1,月结,1993-06-23
1451,64,月结,1993-06-24
2940,54,月结,1993-06-24
1837,23,月结,1993-06-24
3954,22,月结,1993-06-25
885,1,月结,1993-06-25
2697,8,月结,1993-06-26
8129,45,月结,1993-06-26
1930,3,月结,1993-06-27
2411,69,月结,1993-06-27
3775,19,月结,1993-06-27
9034,1,月结,1993-06-28
902,74,月结,1993-06-29
630,71,月结,1993-06-29
3096,68,月结,1993-06-29
2552,52,月结,1993-07-01
3435,59,月结,1993-07-01
5215,55,月结,1993-07-01
36,1,月结,1993-07-01
2687,76,月结,1993-07-01
1861,54,月结,1993-07-02
2464,33,交易之后马上,1993-07-02
2736,72,月结,1993-07-02
1145,31,月结,1993-07-03
2298,31,月结,1993-07-03
929,54,月结,1993-07-03
381,68,月结,1993-07-04
3778,52,月结,1993-07-04
1118,48,月结,1993-07-04
4352,2,月结,1993-07-05
1322,17,月结,1993-07-05
1852,35,月结,1993-07-05
8173,11,月结,1993-07-05
2705,63,交易之后马上,1993-07-05
9472,1,周结,1993-07-06
368,77,月结,1993-07-06
1425,76,月结,1993-07-06
8027,44,周结,1993-07-07
3261,1,月结,1993-07-07
35,75,月结,1993-07-07
2186,63,月结,1993-07-07
1566,73,月结,1993-07-07
78,74,月结,1993-07-07
3939,70,月结,1993-07-08
2584,50,月结,1993-07-08
2336,39,月结,1993-07-08
2078,62,月结,1993-07-08
3882,10,月结,1993-07-09
4159,74,月结,1993-07-09
907,41,月结,1993-07-09
1411,54,月结,1993-07-09
1684,32,周结,1993-07-10
3748,1,月结,1993-07-10
2213,68,月结,1993-07-11
1062,6,月结,1993-07-11
273,24,交易之后马上,1993-07-11
10320,68,月结,1993-07-11
1416,66,周结,1993-07-12
3277,36,月结,1993-07-12
1892,28,月结,1993-07-13
3413,70,月结,1993-07-13
3654,47,月结,1993-07-13
3000,28,月结,1993-07-14
3955,64,月结,1993-07-14
1544,69,月结,1993-07-14
9703,68,月结,1993-07-15
234,73,月结,1993-07-15
3241,44,月结,1993-07-16
3465,1,月结,1993-07-16
3152,1,月结,1993-07-16
1497,1,月结,1993-07-16
3078,1,月结,1993-07-16
400,28,月结,1993-07-17
1902,50,周结,1993-07-17
757,50,月结,1993-07-19
1116,1,月结,1993-07-20
5700,42,月结,1993-07-20
3267,64,月结,1993-07-21
3222,4,月结,1993-07-21
408,41,月结,1993-07-21
2818,40,月结,1993-07-21
6273,38,月结,1993-07-21
2513,70,月结,1993-07-22
3493,63,月结,1993-07-22
1201,61,月结,1993-07-23
4478,70,月结,1993-07-23
2915,57,月结,1993-07-23
9833,20,月结,1993-07-24
2253,74,月结,1993-07-24
1069,70,月结,1993-07-24
207,2,月结,1993-07-25
3212,70,月结,1993-07-25
4035,1,月结,1993-07-25
1268,74,月结,1993-07-25
3287,18,月结,1993-07-26
6226,74,周结,1993-07-26
2123,64,月结,1993-07-26
3982,26,月结,1993-07-27
2701,71,月结,1993-07-27
3629,48,月结,1993-07-27
2841,71,月结,1993-07-27
563,53,月结,1993-07-27
2732,5,月结,1993-07-27
1297,70,月结,1993-07-27
7485,39,月结,1993-07-28
2088,4,月结,1993-07-28
225,1,月结,1993-07-28
1630,72,月结,1993-07-28
403,1,月结,1993-07-29
445,63,周结,1993-07-29
186,1,周结,1993-07-29
3720,36,月结,1993-07-30
574,70,月结,1993-07-30
1429,57,月结,1993-07-30
3580,43,月结,1993-08-01
7819,38,月结,1993-08-01
759,23,月结,1993-08-01
6363,74,月结,1993-08-01
3738,51,月结,1993-08-01
4000,7,月结,1993-08-02
9041,1,月结,1993-08-03
2620,22,月结,1993-08-03
3609,28,月结,1993-08-03
1382,48,月结,1993-08-03
930,41,月结,1993-08-03
1925,12,月结,1993-08-03
1834,62,月结,1993-08-03
1507,35,月结,1993-08-03
7857,75,月结,1993-08-04
6636,72,周结,1993-08-04
601,29,月结,1993-08-04
3298,29,月结,1993-08-04
2938,1,月结,1993-08-04
2199,1,月结,1993-08-04
3745,5,月结,1993-08-04
3699,50,月结,1993-08-05
816,52,月结,1993-08-05
3656,53,月结,1993-08-06
2038,42,月结,1993-08-06
2542,21,月结,1993-08-07
1136,12,月结,1993-08-07
1589,37,月结,1993-08-07
3136,69,月结,1993-08-07
3547,54,月结,1993-08-07
26,52,月结,1993-08-08
657,47,月结,1993-08-08
3538,58,月结,1993-08-08
2167,16,月结,1993-08-08
3127,66,月结,1993-08-08
47,45,月结,1993-08-08
3850,8,月结,1993-08-09
5366,70,月结,1993-08-09
747,39,月结,1993-08-09
3166,71,月结,1993-08-10
11021,1,月结,1993-08-10
1701,1,月结,1993-08-10
3613,43,月结,1993-08-10
3600,27,月结,1993-08-10
3792,10,月结,1993-08-11
523,1,月结,1993-08-11
3808,38,月结,1993-08-11
1401,1,月结,1993-08-12
541,61,月结,1993-08-12
1023,21,月结,1993-08-13
3683,33,月结,1993-08-13
3220,29,月结,1993-08-14
1779,33,月结,1993-08-15
1912,64,月结,1993-08-15
238,6,月结,1993-08-15
3113,67,月结,1993-08-16
5481,52,月结,1993-08-16
3035,15,周结,1993-08-16
942,9,月结,1993-08-16
3221,5,月结,1993-08-17
2616,1,月结,1993-08-17
2137,4,交易之后马上,1993-08-17
978,73,月结,1993-08-18
2771,37,月结,1993-08-18
3891,1,月结,1993-08-18
9236,11,月结,1993-08-18
274,76,月结,1993-08-20
552,14,月结,1993-08-20
2417,44,月结,1993-08-20
3868,43,月结,1993-08-21
9869,12,月结,1993-08-21
1875,44,月结,1993-08-21
8212,52,交易之后马上,1993-08-21
3477,71,月结,1993-08-22
1513,30,月结,1993-08-23
3053,11,月结,1993-08-23
1057,13,月结,1993-08-23
6030,47,月结,1993-08-24
3407,28,月结,1993-08-24
1761,24,月结,1993-08-24
3306,75,月结,1993-08-24
162,60,月结,1993-08-25
5011,31,月结,1993-08-25
965,20,月结,1993-08-25
1305,57,月结,1993-08-25
815,56,月结,1993-08-25
1449,35,月结,1993-08-26
950,49,月结,1993-08-26
3361,45,月结,1993-08-26
3837,48,交易之后马上,1993-08-26
33,22,月结,1993-08-26
2894,17,月结,1993-08-28
2510,61,月结,1993-08-28
389,30,月结,1993-08-28
6051,56,月结,1993-08-28
730,4,月结,1993-08-28
1694,6,周结,1993-08-29
721,76,月结,1993-08-29
1106,20,周结,1993-08-29
3319,56,月结,1993-08-29
10451,1,月结,1993-08-29
172,13,月结,1993-08-30
3920,74,月结,1993-09-01
3011,64,月结,1993-09-01
1337,23,月结,1993-09-01
2592,69,月结,1993-09-01
146,4,月结,1993-09-02
2576,1,月结,1993-09-02
3195,40,月结,1993-09-02
8073,24,交易之后马上,1993-09-03
4463,67,月结,1993-09-03
2082,36,月结,1993-09-03
2020,13,月结,1993-09-04
160,23,月结,1993-09-04
7607,1,月结,1993-09-05
117,31,月结,1993-09-05
3509,2,月结,1993-09-05
151,76,月结,1993-09-06
1719,1,月结,1993-09-06
3456,32,月结,1993-09-06
2951,44,月结,1993-09-06
7190,49,月结,1993-09-06
1827,10,月结,1993-09-06
1689,55,月结,1993-09-07
1197,68,月结,1993-09-07
5952,50,月结,1993-09-07
6930,41,月结,1993-09-08
1107,42,月结,1993-09-08
8475,4,月结,1993-09-08
3575,7,月结,1993-09-08
2691,69,月结,1993-09-08
3323,13,月结,1993-09-08
2428,72,月结,1993-09-08
2649,2,月结,1993-09-08
2907,70,月结,1993-09-09
1091,16,月结,1993-09-09
1487,66,月结,1993-09-10
3157,77,月结,1993-09-10
4414,24,月结,1993-09-10
2302,24,月结,1993-09-10
1410,74,月结,1993-09-11
1146,67,月结,1993-09-12
8564,68,月结,1993-09-12
750,73,月结,1993-09-12
2150,37,月结,1993-09-12
10940,50,月结,1993-09-13
9337,30,月结,1993-09-13
861,22,月结,1993-09-13
10440,72,月结,1993-09-13
10036,1,月结,1993-09-13
1234,6,月结,1993-09-13
7774,74,交易之后马上,1993-09-14
1547,72,月结,1993-09-14
1079,74,月结,1993-09-14
3863,15,月结,1993-09-14
3480,58,月结,1993-09-14
2671,1,月结,1993-09-15
1705,70,月结,1993-09-15
3028,27,月结,1993-09-15
3310,25,月结,1993-09-15
6715,48,周结,1993-09-15
3255,1,月结,1993-09-15
3751,9,月结,1993-09-15
2987,18,月结,1993-09-16
857,77,月结,1993-09-16
3042,10,月结,1993-09-16
2695,16,月结,1993-09-16
2849,1,月结,1993-09-16
2802,1,月结,1993-09-16
34,67,周结,1993-09-17
7133,1,月结,1993-09-17
699,1,月结,1993-09-17
2282,29,周结,1993-09-17
8489,19,月结,1993-09-18
837,46,月结,1993-09-18
8759,1,月结,1993-09-18
1602,33,月结,1993-09-19
2958,48,月结,1993-09-19
3408,62,月结,1993-09-19
153,77,月结,1993-09-19
3268,21,月结,1993-09-20
854,62,月结,1993-09-21
1831,1,月结,1993-09-21
39,36,月结,1993-09-22
1811,40,月结,1993-09-22
3822,8,月结,1993-09-22
1404,7,周结,1993-09-22
517,76,月结,1993-09-22
1440,55,月结,1993-09-22
3505,46,月结,1993-09-23
1804,20,周结,1993-09-23
2617,1,月结,1993-09-24
467,74,月结,1993-09-24
4437,40,月结,1993-09-24
1453,61,周结,1993-09-25
3977,7,月结,1993-09-25
8982,64,月结,1993-09-25
27,73,月结,1993-09-26
4511,33,月结,1993-09-26
1052,61,月结,1993-09-27
10227,62,交易之后马上,1993-09-27
3171,61,月结,1993-09-28
228,5,月结,1993-09-28
3618,29,月结,1993-09-29
1016,40,月结,1993-09-29
15,70,月结,1993-10-02
3237,20,月结,1993-10-02
1485,36,月结,1993-10-03
7769,23,月结,1993-10-03
2613,26,月结,1993-10-03
2201,8,月结,1993-10-05
1896,74,月结,1993-10-05
5387,1,月结,1993-10-05
3535,1,月结,1993-10-05
1120,1,月结,1993-10-05
235,41,月结,1993-10-06
3701,76,月结,1993-10-06
1516,67,月结,1993-10-08
4543,33,月结,1993-10-08
2427,70,周结,1993-10-08
1981,64,月结,1993-10-08
8566,74,月结,1993-10-08
678,17,月结,1993-10-08
4659,56,月结,1993-10-08
4059,34,月结,1993-10-08
4013,73,交易之后马上,1993-10-08
7011,75,月结,1993-10-08
2132,76,月结,1993-10-08
1816,44,月结,1993-10-08
2623,58,月结,1993-10-09
2793,47,月结,1993-10-09
2479,18,月结,1993-10-09
11135,75,月结,1993-10-10
8041,1,月结,1993-10-10
492,5,月结,1993-10-10
799,56,月结,1993-10-10
3972,51,月结,1993-10-11
1468,54,月结,1993-10-11
624,70,月结,1993-10-11
3483,40,月结,1993-10-12
4260,56,月结,1993-10-14
616,43,月结,1993-10-14
931,59,月结,1993-10-15
102,11,月结,1993-10-16
540,75,月结,1993-10-16
2660,1,周结,1993-10-17
4287,1,月结,1993-10-17
3551,6,月结,1993-10-17
2072,41,月结,1993-10-17
4119,77,月结,1993-10-18
1345,28,月结,1993-10-19
1565,36,月结,1993-10-20
2824,11,月结,1993-10-20
2052,61,月结,1993-10-20
1767,21,月结,1993-10-20
2140,75,月结,1993-10-21
1051,35,月结,1993-10-21
3927,56,月结,1993-10-22
2050,1,月结,1993-10-22
2276,31,月结,1993-10-22
126,5,月结,1993-10-23
2859,11,月结,1993-10-23
2667,23,月结,1993-10-23
1789,46,月结,1993-10-23
838,47,月结,1993-10-23
3264,70,月结,1993-10-23
198,70,月结,1993-10-25
2345,5,月结,1993-10-25
5256,72,交易之后马上,1993-10-25
40,64,月结,1993-10-25
419,13,月结,1993-10-25
3892,43,月结,1993-10-25
1217,69,月结,1993-10-25
397,11,月结,1993-10-26
3146,68,月结,1993-10-26
287,16,月结,1993-10-27
2180,45,月结,1993-10-27
354,59,月结,1993-10-28
259,2,月结,1993-10-28
1666,67,月结,1993-10-30
1495,36,月结,1993-11-01
2582,28,月结,1993-11-01
4470,16,月结,1993-11-01
1381,57,月结,1993-11-01
2435,38,月结,1993-11-01
542,1,月结,1993-11-01
1123,13,月结,1993-11-01
