card_id,disp_id,issued,type
14,112,1996/2/17,普通卡
423,2657,1996/2/19,普通卡
989,9119,1996/2/21,普通卡
364,2329,1996/2/29,普通卡
267,1691,1996/3/9,青年卡
621,3970,1996/3/19,青年卡
1139,11836,1996/3/26,青年卡
725,4715,1996/3/30,青年卡
150,859,1996/3/30,普通卡
302,1900,1996/3/31,普通卡
372,2395,1996/3/31,普通卡
499,3187,1996/4/3,普通卡
229,1384,1996/4/5,普通卡
289,1831,1996/4/8,青年卡
1100,11101,1996/4/10,青年卡
37,238,1996/4/20,普通卡
286,1812,1996/4/21,金卡
157,907,1996/4/24,普通卡
216,1310,1996/4/24,青年卡
977,8968,1996/5/8,普通卡
183,1080,1996/5/8,普通卡
945,8342,1996/5/9,青年卡
44,268,1996/5/17,青年卡
600,3829,1996/5/20,普通卡
127,714,1996/5/23,普通卡
764,5159,1996/5/29,普通卡
204,1239,1996/5/30,青年卡
1134,11742,1996/5/31,普通卡
312,1971,1996/6/8,普通卡
313,1980,1996/6/17,普通卡
641,4116,1996/6/18,普通卡
731,4751,1996/6/23,普通卡
84,487,1996/6/26,普通卡
265,1680,1996/6/28,普通卡
1176,12502,1996/7/3,金卡
1233,13382,1996/7/6,普通卡
407,2555,1996/7/11,普通卡
320,2045,1996/7/11,普通卡
1187,12635,1996/7/17,金卡
121,666,1996/7/22,青年卡
1055,10171,1996/7/24,普通卡
303,1912,1996/8/1,普通卡
651,4201,1996/8/2,青年卡
736,4789,1996/8/3,普通卡
24,153,1996/8/5,青年卡
587,3763,1996/8/5,青年卡
119,655,1996/8/8,普通卡
670,4343,1996/8/8,普通卡
227,1380,1996/8/10,普通卡
1164,12269,1996/8/12,普通卡
1043,9974,1996/8/14,青年卡
278,1779,1996/8/15,普通卡
103,584,1996/8/17,青年卡
673,4353,1996/8/31,青年卡
38,242,1996/8/31,普通卡
470,3036,1996/9/2,普通卡
890,7422,1996/9/8,普通卡
514,3267,1996/9/10,普通卡
741,4832,1996/9/11,普通卡
882,7195,1996/9/11,普通卡
12,83,1996/9/11,青年卡
152,876,1996/9/16,普通卡
163,984,1996/9/18,普通卡
708,4568,1996/9/24,青年卡
1087,10887,1996/10/6,普通卡
854,6753,1996/10/7,普通卡
601,3830,1996/10/8,普通卡
99,548,1996/10/9,金卡
547,3477,1996/10/11,普通卡
40,255,1996/10/13,普通卡
220,1333,1996/10/13,普通卡
390,2490,1996/10/14,普通卡
776,5263,1996/10/19,普通卡
197,1202,1996/10/21,青年卡
516,3279,1996/10/25,普通卡
381,2440,1996/10/27,普通卡
1010,9413,1996/10/27,普通卡
813,5873,1996/10/28,青年卡
272,1754,1996/10/28,青年卡
772,5243,1996/10/30,普通卡
528,3356,1996/10/31,普通卡
1014,9452,1996/11/2,普通卡
87,493,1996/11/2,普通卡
88,496,1996/11/4,普通卡
441,2785,1996/11/5,普通卡
562,3583,1996/11/7,普通卡
690,4479,1996/11/7,普通卡
374,2423,1996/11/8,普通卡
57,347,1996/11/9,普通卡
722,4684,1996/11/14,普通卡
300,1890,1996/11/20,普通卡
117,649,1996/11/23,青年卡
541,3427,1996/11/26,青年卡
294,1861,1996/12/4,普通卡
10,77,1996/12/7,普通卡
710,4588,1996/12/10,青年卡
408,2560,1996/12/10,普通卡
363,2324,1996/12/11,青年卡
697,4518,1996/12/11,普通卡
433,2724,1996/12/12,普通卡
642,4137,1996/12/13,普通卡
243,1478,1996/12/13,普通卡
162,967,1996/12/23,青年卡
594,3794,1996/12/27,青年卡
609,3893,1996/12/29,普通卡
1111,11288,1996/12/31,普通卡
786,5478,1996/12/31,普通卡
1118,11393,1997/1/2,普通卡
175,1040,1997/1/3,普通卡
565,3601,1997/1/6,金卡
714,4638,1997/1/9,普通卡
137,786,1997/1/10,青年卡
22,138,1997/1/11,普通卡
325,2102,1997/1/12,普通卡
194,1182,1997/1/13,普通卡
668,4340,1997/1/14,普通卡
706,4559,1997/1/16,金卡
850,6644,1997/1/16,普通卡
298,1885,1997/1/17,普通卡
105,590,1997/1/17,普通卡
1036,9735,1997/1/17,普通卡
292,1842,1997/1/18,金卡
112,626,1997/1/19,青年卡
678,4405,1997/1/20,金卡
1093,11011,1997/1/20,普通卡
681,4426,1997/1/22,普通卡
582,3733,1997/1/22,普通卡
729,4740,1997/1/22,青年卡
54,334,1997/1/24,普通卡
258,1607,1997/1/26,普通卡
534,3387,1997/1/29,普通卡
667,4333,1997/1/31,普通卡
195,1194,1997/2/3,普通卡
199,1213,1997/2/7,普通卡
490,3136,1997/2/7,金卡
347,2184,1997/2/11,普通卡
210,1253,1997/2/16,普通卡
293,1850,1997/2/17,普通卡
189,1157,1997/2/19,普通卡
324,2074,1997/2/19,普通卡
578,3689,1997/2/21,青年卡
266,1690,1997/3/4,普通卡
568,3615,1997/3/5,普通卡
171,1027,1997/3/5,普通卡
679,4416,1997/3/6,普通卡
841,6468,1997/3/6,普通卡
513,3260,1997/3/15,普通卡
647,4171,1997/3/21,青年卡
665,4318,1997/3/24,普通卡
400,2529,1997/4/6,普通卡
617,3944,1997/4/9,金卡
709,4587,1997/4/11,青年卡
387,2481,1997/4/18,普通卡
226,1378,1997/4/18,普通卡
350,2226,1997/4/20,普通卡
539,3415,1997/4/23,普通卡
583,3735,1997/4/24,普通卡
576,3671,1997/4/30,普通卡
232,1396,1997/5/1,普通卡
730,4749,1997/5/2,普通卡
616,3943,1997/5/5,普通卡
564,3590,1997/5/6,普通卡
82,474,1997/5/7,普通卡
1173,12442,1997/5/8,普通卡
426,2686,1997/5/9,普通卡
791,5521,1997/5/12,普通卡
572,3636,1997/5/16,青年卡
375,2425,1997/5/17,青年卡
69,438,1997/5/17,普通卡
607,3885,1997/5/17,普通卡
155,900,1997/5/17,青年卡
275,1762,1997/5/20,普通卡
847,6610,1997/5/20,普通卡
399,2527,1997/5/22,普通卡
305,1914,1997/5/23,普通卡
430,2713,1997/5/26,普通卡
349,2214,1997/5/26,普通卡
256,1583,1997/5/26,普通卡
50,309,1997/5/28,普通卡
939,8217,1997/5/29,青年卡
110,608,1997/5/31,普通卡
184,1089,1997/6/3,金卡
90,503,1997/6/4,普通卡
597,3813,1997/6/6,青年卡
471,3037,1997/6/9,普通卡
494,3173,1997/6/10,普通卡
211,1271,1997/6/10,普通卡
353,2259,1997/6/11,普通卡
213,1289,1997/6/11,金卡
1009,9409,1997/6/14,金卡
297,1883,1997/6/15,普通卡
801,5684,1997/6/15,普通卡
748,4923,1997/6/16,普通卡
133,742,1997/6/16,普通卡
316,2013,1997/6/17,普通卡
145,819,1997/6/17,普通卡
270,1736,1997/6/17,青年卡
1178,12542,1997/6/19,普通卡
222,1345,1997/6/19,普通卡
241,1461,1997/6/20,普通卡
280,1793,1997/6/22,普通卡
675,4376,1997/6/23,普通卡
108,597,1997/6/25,普通卡
1196,12805,1997/6/27,普通卡
287,1819,1997/6/28,青年卡
443,2808,1997/6/29,普通卡
1138,11825,1997/6/29,普通卡
733,4764,1997/6/30,青年卡
311,1954,1997/7/1,普通卡
120,662,1997/7/3,普通卡
122,667,1997/7/3,青年卡
476,3079,1997/7/6,普通卡
781,5366,1997/7/7,普通卡
588,3765,1997/7/8,普通卡
403,2538,1997/7/12,青年卡
139,797,1997/7/14,普通卡
553,3522,1997/7/14,普通卡
625,3987,1997/7/17,普通卡
413,2592,1997/7/20,青年卡
591,3779,1997/7/23,普通卡
694,4504,1997/7/24,普通卡
512,3259,1997/7/24,普通卡
1095,11023,1997/7/28,金卡
1059,10235,1997/7/29,普通卡
75,457,1997/7/29,普通卡
383,2469,1997/7/30,普通卡
115,638,1997/7/30,普通卡
884,7286,1997/7/31,金卡
454,2921,1997/8/1,普通卡
688,4472,1997/8/1,普通卡
936,8030,1997/8/2,普通卡
663,4295,1997/8/6,普通卡
637,4094,1997/8/6,青年卡
511,3257,1997/8/6,青年卡
1220,13160,1997/8/8,普通卡
628,4007,1997/8/11,普通卡
718,4660,1997/8/12,普通卡
238,1452,1997/8/17,金卡
546,3465,1997/8/19,金卡
660,4265,1997/8/19,青年卡
491,3151,1997/8/21,普通卡
140,798,1997/8/22,普通卡
502,3201,1997/8/22,普通卡
598,3821,1997/8/23,普通卡
355,2267,1997/8/28,普通卡
43,267,1997/8/29,普通卡
610,3894,1997/8/29,普通卡
182,1067,1997/8/31,金卡
41,256,1997/8/31,普通卡
91,504,1997/9/1,青年卡
252,1529,1997/9/2,普通卡
495,3181,1997/9/2,普通卡
259,1610,1997/9/5,普通卡
187,1140,1997/9/7,普通卡
185,1098,1997/9/7,普通卡
1025,9625,1997/9/8,普通卡
19,130,1997/9/9,普通卡
431,2715,1997/9/12,金卡
356,2268,1997/9/13,普通卡
767,5204,1997/9/14,普通卡
537,3405,1997/9/15,普通卡
703,4546,1997/9/17,普通卡
671,4345,1997/9/17,普通卡
896,7567,1997/9/18,普通卡
343,2164,1997/9/21,普通卡
279,1791,1997/9/21,普通卡
622,3981,1997/9/22,青年卡
612,3906,1997/9/22,普通卡
206,1243,1997/9/22,普通卡
190,1165,1997/9/23,普通卡
1203,12893,1997/9/26,普通卡
234,1424,1997/9/29,普通卡
30,202,1997/10/1,普通卡
327,2117,1997/10/3,普通卡
49,305,1997/10/3,普通卡
1115,11375,1997/10/3,青年卡
698,4522,1997/10/7,金卡
874,7127,1997/10/7,金卡
247,1500,1997/10/8,青年卡
656,4235,1997/10/8,普通卡
436,2759,1997/10/9,普通卡
124,688,1997/10/10,普通卡
633,4078,1997/10/12,普通卡
428,2698,1997/10/13,普通卡
638,4100,1997/10/14,金卡
153,886,1997/10/19,金卡
596,3811,1997/10/19,普通卡
664,4316,1997/10/22,普通卡
251,1525,1997/10/23,普通卡
552,3519,1997/10/25,普通卡
9,76,1997/10/25,普通卡
11,79,1997/10/25,金卡
650,4194,1997/10/26,普通卡
59,365,1997/10/27,普通卡
1016,9525,1997/10/28,普通卡
359,2299,1997/10/29,普通卡
438,2768,1997/10/30,普通卡
94,513,1997/11/6,普通卡
1056,10220,1997/11/6,普通卡
273,1758,1997/11/7,普通卡
947,8366,1997/11/8,普通卡
93,510,1997/11/9,普通卡
762,5132,1997/11/10,普通卡
254,1578,1997/11/11,普通卡
611,3896,1997/11/13,普通卡
648,4188,1997/11/18,普通卡
373,2401,1997/11/18,普通卡
579,3699,1997/11/18,普通卡
555,3544,1997/11/19,普通卡
329,2122,1997/11/19,金卡
707,4560,1997/11/21,普通卡
51,321,1997/11/21,普通卡
382,2445,1997/11/22,金卡
472,3056,1997/11/24,普通卡
237,1445,1997/11/25,普通卡
1234,13386,1997/11/28,普通卡
86,490,1997/11/28,普通卡
540,3425,1997/11/29,普通卡
493,3167,1997/11/30,普通卡
532,3382,1997/11/30,普通卡
590,3769,1997/12/2,普通卡
942,8295,1997/12/2,普通卡
33,221,1997/12/3,青年卡
739,4821,1997/12/3,普通卡
45,272,1997/12/5,普通卡
25,158,1997/12/6,普通卡
200,1220,1997/12/9,金卡
268,1707,1997/12/11,金卡
507,3245,1997/12/11,普通卡
569,3616,1997/12/12,普通卡
282,1799,1997/12/13,金卡
536,3404,1997/12/13,普通卡
1022,9606,1997/12/13,普通卡
1105,11237,1997/12/13,普通卡
326,2104,1997/12/14,普通卡
380,2434,1997/12/15,普通卡
723,4699,1997/12/15,普通卡
81,473,1997/12/17,普通卡
521,3310,1997/12/17,普通卡
608,3890,1997/12/17,普通卡
589,3766,1997/12/20,青年卡
281,1795,1997/12/22,普通卡
891,7434,1997/12/23,普通卡
774,5249,1997/12/25,普通卡
566,3606,1997/12/25,普通卡
575,3667,1997/12/25,金卡
154,887,1997/12/28,普通卡
130,722,1997/12/29,普通卡
434,2739,1997/12/30,普通卡
83,483,1998/1/5,普通卡
593,3787,1998/1/6,青年卡
481,3102,1998/1/6,青年卡
304,1913,1998/1/6,普通卡
149,858,1998/1/7,普通卡
659,4258,1998/1/8,普通卡
517,3291,1998/1/9,普通卡
368,2361,1998/1/10,普通卡
482,3104,1998/1/13,青年卡
689,4473,1998/1/15,普通卡
557,3567,1998/1/17,普通卡
897,7576,1998/1/18,普通卡
803,5727,1998/1/19,普通卡
401,2532,1998/1/19,普通卡
760,5126,1998/1/19,普通卡
274,1759,1998/1/21,普通卡
28,174,1998/1/22,青年卡
904,7672,1998/1/22,普通卡
474,3066,1998/1/24,青年卡
214,1292,1998/1/24,普通卡
55,335,1998/1/25,普通卡
340,2155,1998/1/25,普通卡
724,4701,1998/1/27,金卡
67,429,1998/1/28,青年卡
236,1440,1998/1/29,青年卡
68,434,1998/1/31,普通卡
348,2203,1998/2/2,普通卡
65,414,1998/2/2,普通卡
1239,13442,1998/2/2,青年卡
165,996,1998/2/4,青年卡
249,1517,1998/2/6,普通卡
246,1492,1998/2/8,普通卡
720,4674,1998/2/9,青年卡
518,3292,1998/2/10,金卡
459,2958,1998/2/11,金卡
655,4231,1998/2/13,普通卡
624,3985,1998/2/13,青年卡
398,2522,1998/2/14,普通卡
796,5579,1998/2/20,普通卡
100,562,1998/2/21,金卡
574,3640,1998/2/23,青年卡
360,2308,1998/2/24,普通卡
391,2493,1998/2/24,普通卡
283,1800,1998/2/25,普通卡
726,4721,1998/2/26,普通卡
132,731,1998/2/26,青年卡
463,2982,1998/2/26,普通卡
21,132,1998/2/26,普通卡
529,3357,1998/2/27,普通卡
946,8359,1998/2/28,青年卡
419,2626,1998/2/28,普通卡
248,1512,1998/3/1,普通卡
215,1296,1998/3/2,普通卡
225,1359,1998/3/3,普通卡
643,4157,1998/3/4,普通卡
844,6567,1998/3/4,青年卡
672,4349,1998/3/7,普通卡
276,1765,1998/3/7,普通卡
1230,13312,1998/3/8,普通卡
599,3824,1998/3/8,金卡
72,447,1998/3/9,普通卡
1199,12826,1998/3/9,普通卡
48,295,1998/3/10,普通卡
58,358,1998/3/11,普通卡
334,2133,1998/3/13,普通卡
2,19,1998/3/13,普通卡
228,1382,1998/3/15,青年卡
244,1480,1998/3/16,普通卡
1189,12683,1998/3/17,普通卡
198,1211,1998/3/18,青年卡
34,225,1998/3/20,普通卡
535,3395,1998/3/22,普通卡
269,1718,1998/3/22,金卡
515,3268,1998/3/23,普通卡
290,1833,1998/3/24,普通卡
315,2005,1998/3/24,青年卡
784,5461,1998/3/24,普通卡
63,378,1998/3/27,青年卡
417,2619,1998/3/30,普通卡
619,3958,1998/4/1,普通卡
191,1168,1998/4/2,青年卡
965,8636,1998/4/2,普通卡
444,2815,1998/4/3,金卡
370,2374,1998/4/3,普通卡
156,906,1998/4/7,青年卡
492,3166,1998/4/9,普通卡
52,326,1998/4/10,金卡
71,441,1998/4/11,普通卡
775,5253,1998/4/11,金卡
330,2124,1998/4/11,普通卡
510,3256,1998/4/13,普通卡
170,1020,1998/4/16,普通卡
338,2146,1998/4/16,普通卡
755,5002,1998/4/16,普通卡
451,2888,1998/4/16,青年卡
263,1668,1998/4/17,金卡
602,3846,1998/4/18,青年卡
498,3186,1998/4/18,普通卡
933,7959,1998/4/21,青年卡
89,497,1998/4/22,普通卡
761,5128,1998/4/23,金卡
176,1049,1998/4/25,普通卡
1102,11183,1998/4/25,普通卡
109,605,1998/4/26,普通卡
421,2644,1998/4/27,普通卡
918,7796,1998/4/27,普通卡
680,4417,1998/4/29,普通卡
824,6196,1998/4/29,普通卡
448,2864,1998/4/29,普通卡
1194,12781,1998/4/30,青年卡
331,2125,1998/5/1,金卡
734,4765,1998/5/1,普通卡
235,1438,1998/5/2,普通卡
284,1807,1998/5/7,普通卡
412,2585,1998/5/9,普通卡
64,402,1998/5/10,普通卡
186,1133,1998/5/12,金卡
458,2951,1998/5/14,金卡
465,2995,1998/5/15,普通卡
457,2948,1998/5/16,青年卡
456,2929,1998/5/16,普通卡
645,4166,1998/5/17,普通卡
906,7683,1998/5/18,金卡
756,5012,1998/5/18,普通卡
218,1322,1998/5/18,普通卡
717,4654,1998/5/19,普通卡
8,60,1998/5/20,青年卡
700,4533,1998/5/22,青年卡
757,5013,1998/5/22,青年卡
126,707,1998/5/23,普通卡
358,2287,1998/5/23,青年卡
639,4112,1998/5/23,普通卡
212,1280,1998/5/24,普通卡
415,2609,1998/5/25,普通卡
161,963,1998/5/25,普通卡
207,1244,1998/5/25,普通卡
1216,13097,1998/5/26,普通卡
649,4190,1998/5/29,普通卡
475,3075,1998/5/31,金卡
586,3756,1998/5/31,普通卡
446,2841,1998/6/4,普通卡
823,6178,1998/6/5,普通卡
644,4165,1998/6/5,普通卡
111,615,1998/6/5,普通卡
469,3026,1998/6/7,普通卡
17,127,1998/6/7,普通卡
558,3568,1998/6/7,普通卡
192,1169,1998/6/8,普通卡
631,4061,1998/6/9,青年卡
317,2015,1998/6/10,普通卡
716,4651,1998/6/11,青年卡
7,56,1998/6/11,普通卡
863,6906,1998/6/12,普通卡
123,679,1998/6/12,普通卡
770,5232,1998/6/15,普通卡
143,816,1998/6/15,普通卡
785,5468,1998/6/16,普通卡
646,4167,1998/6/17,普通卡
160,954,1998/6/17,普通卡
669,4341,1998/6/19,普通卡
101,566,1998/6/19,普通卡
332,2126,1998/6/19,普通卡
362,2320,1998/6/21,金卡
173,1031,1998/6/21,普通卡
16,116,1998/6/23,普通卡
365,2332,1998/6/23,普通卡
701,4534,1998/6/24,普通卡
80,471,1998/6/25,普通卡
831,6275,1998/6/29,普通卡
354,2265,1998/6/30,金卡
250,1522,1998/6/30,普通卡
142,810,1998/7/1,普通卡
991,9149,1998/7/1,青年卡
1192,12736,1998/7/2,普通卡
738,4808,1998/7/2,青年卡
627,3994,1998/7/5,普通卡
696,4516,1998/7/5,普通卡
260,1616,1998/7/5,普通卡
768,5223,1998/7/6,普通卡
233,1418,1998/7/7,普通卡
450,2880,1998/7/7,普通卡
440,2782,1998/7/7,普通卡
301,1899,1998/7/7,普通卡
485,3124,1998/7/8,普通卡
567,3611,1998/7/8,普通卡
66,425,1998/7/8,普通卡
1002,9261,1998/7/9,普通卡
453,2911,1998/7/12,金卡
277,1777,1998/7/12,金卡
571,3627,1998/7/13,青年卡
687,4471,1998/7/14,普通卡
640,4115,1998/7/14,普通卡
39,254,1998/7/14,普通卡
435,2740,1998/7/15,普通卡
411,2572,1998/7/15,普通卡
548,3501,1998/7/16,普通卡
1167,12335,1998/7/18,普通卡
727,4723,1998/7/19,普通卡
603,3850,1998/7/20,普通卡
496,3183,1998/7/21,青年卡
73,451,1998/7/21,青年卡
146,822,1998/7/23,普通卡
439,2779,1998/7/23,普通卡
613,3913,1998/7/23,普通卡
323,2065,1998/7/24,青年卡
623,3984,1998/7/25,普通卡
530,3360,1998/7/25,普通卡
396,2508,1998/7/26,普通卡
1076,10604,1998/7/27,金卡
344,2168,1998/7/27,普通卡
525,3337,1998/7/27,普通卡
42,264,1998/7/28,青年卡
740,4823,1998/7/28,青年卡
780,5333,1998/7/29,普通卡
509,3253,1998/7/30,金卡
308,1938,1998/7/30,普通卡
618,3947,1998/7/31,普通卡
209,1251,1998/7/31,普通卡
1155,12088,1998/8/1,普通卡
95,519,1998/8/1,青年卡
833,6299,1998/8/1,普通卡
319,2038,1998/8/2,青年卡
795,5563,1998/8/2,普通卡
508,3249,1998/8/3,普通卡
78,468,1998/8/4,普通卡
683,4437,1998/8/5,普通卡
32,219,1998/8/6,普通卡
550,3515,1998/8/8,普通卡
1217,13098,1998/8/9,青年卡
1003,9274,1998/8/9,普通卡
179,1059,1998/8/10,普通卡
169,1019,1998/8/10,普通卡
221,1339,1998/8/10,普通卡
684,4457,1998/8/11,普通卡
77,466,1998/8/13,普通卡
581,3721,1998/8/13,普通卡
47,280,1998/8/13,普通卡
386,2478,1998/8/14,普通卡
346,2177,1998/8/14,普通卡
406,2548,1998/8/16,普通卡
951,8392,1998/8/16,普通卡
519,3297,1998/8/16,普通卡
321,2058,1998/8/16,金卡
128,716,1998/8/19,普通卡
711,4592,1998/8/19,普通卡
538,3414,1998/8/20,金卡
29,192,1998/8/20,普通卡
834,6301,1998/8/21,普通卡
461,2977,1998/8/21,金卡
239,1453,1998/8/24,金卡
395,2502,1998/8/24,普通卡
531,3378,1998/8/24,金卡
1150,12020,1998/8/25,普通卡
96,528,1998/8/26,普通卡
367,2343,1998/8/27,普通卡
1023,9621,1998/8/30,普通卡
702,4543,1998/8/30,普通卡
405,2542,1998/8/31,普通卡
480,3092,1998/9/1,普通卡
1098,11063,1998/9/1,普通卡
79,469,1998/9/2,普通卡
402,2536,1998/9/3,普通卡
551,3517,1998/9/3,普通卡
425,2662,1998/9/4,青年卡
1195,12787,1998/9/4,金卡
1154,12070,1998/9/5,普通卡
307,1930,1998/9/5,金卡
752,4944,1998/9/6,青年卡
134,769,1998/9/7,普通卡
285,1811,1998/9/10,金卡
544,3448,1998/9/10,金卡
526,3339,1998/9/10,普通卡
352,2235,1998/9/11,普通卡
328,2121,1998/9/12,青年卡
26,161,1998/9/14,普通卡
141,808,1998/9/15,普通卡
151,861,1998/9/16,普通卡
203,1231,1998/9/16,普通卡
653,4212,1998/9/16,普通卡
880,7186,1998/9/17,普通卡
620,3959,1998/9/17,普通卡
630,4019,1998/9/18,普通卡
1188,12678,1998/9/19,普通卡
389,2489,1998/9/19,金卡
1024,9622,1998/9/20,普通卡
193,1179,1998/9/21,金卡
758,5016,1998/9/21,普通卡
634,4081,1998/9/22,青年卡
361,2312,1998/9/23,普通卡
242,1473,1998/9/24,普通卡
923,7855,1998/9/24,普通卡
1007,9333,1998/9/25,金卡
520,3308,1998/9/25,普通卡
629,4018,1998/9/25,青年卡
335,2137,1998/9/25,普通卡
414,2606,1998/9/26,普通卡
36,236,1998/9/28,普通卡
561,3581,1998/9/28,金卡
291,1836,1998/9/29,普通卡
231,1390,1998/9/29,青年卡
782,5376,1998/9/29,普通卡
180,1062,1998/9/29,普通卡
765,5175,1998/9/29,普通卡
357,2277,1998/9/29,青年卡
554,3535,1998/9/29,普通卡
956,8502,1998/9/30,普通卡
676,4380,1998/9/30,普通卡
255,1579,1998/10/1,金卡
1193,12743,1998/10/1,普通卡
416,2616,1998/10/1,普通卡
585,3753,1998/10/1,金卡
744,4863,1998/10/2,普通卡
23,146,1998/10/3,普通卡
394,2501,1998/10/5,普通卡
460,2971,1998/10/5,普通卡
35,231,1998/10/7,普通卡
447,2845,1998/10/7,普通卡
264,1669,1998/10/7,普通卡
245,1483,1998/10/8,普通卡
505,3233,1998/10/9,青年卡
336,2138,1998/10/9,青年卡
366,2335,1998/10/9,普通卡
533,3384,1998/10/9,普通卡
288,1826,1998/10/10,普通卡
754,4976,1998/10/10,青年卡
116,646,1998/10/11,普通卡
1035,9732,1998/10/11,普通卡
682,4429,1998/10/11,普通卡
792,5526,1998/10/11,普通卡
385,2476,1998/10/12,普通卡
53,333,1998/10/13,普通卡
751,4941,1998/10/15,青年卡
614,3938,1998/10/16,青年卡
957,8506,1998/10/16,青年卡
1,9,1998/10/16,金卡
743,4862,1998/10/18,金卡
61,374,1998/10/18,普通卡
60,370,1998/10/18,普通卡
74,453,1998/10/18,普通卡
749,4929,1998/10/19,普通卡
339,2154,1998/10/19,普通卡
769,5224,1998/10/20,普通卡
488,3134,1998/10/20,金卡
31,208,1998/10/21,普通卡
542,3439,1998/10/22,普通卡
750,4937,1998/10/24,普通卡
855,6764,1998/10/24,普通卡
299,1886,1998/10/25,普通卡
158,928,1998/10/25,金卡
857,6789,1998/10/25,青年卡
230,1388,1998/10/25,金卡
295,1864,1998/10/26,普通卡
584,3751,1998/10/28,普通卡
449,2865,1998/10/28,普通卡
351,2232,1998/11/1,普通卡
138,791,1998/11/2,普通卡
524,3333,1998/11/2,普通卡
693,4495,1998/11/3,青年卡
604,3858,1998/11/4,普通卡
746,4901,1998/11/4,普通卡
333,2128,1998/11/4,普通卡
129,719,1998/11/5,普通卡
429,2709,1998/11/5,普通卡
424,2659,1998/11/6,普通卡
345,2175,1998/11/7,普通卡
1165,12291,1998/11/8,普通卡
1070,10490,1998/11/8,青年卡
217,1316,1998/11/9,普通卡
636,4091,1998/11/9,青年卡
820,6039,1998/11/10,普通卡
46,273,1998/11/10,普通卡
742,4833,1998/11/10,普通卡
404,2540,1998/11/12,青年卡
102,575,1998/11/12,普通卡
455,2924,1998/11/13,普通卡
253,1536,1998/11/14,金卡
570,3620,1998/11/14,普通卡
27,167,1998/11/15,青年卡
580,3713,1998/11/16,普通卡
409,2562,1998/11/16,普通卡
205,1242,1998/11/16,普通卡
773,5245,1998/11/18,普通卡
487,3130,1998/11/18,普通卡
177,1056,1998/11/19,普通卡
632,4069,1998/11/19,普通卡
445,2820,1998/11/19,金卡
1001,9247,1998/11/20,普通卡
257,1589,1998/11/20,普通卡
