EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
1.8,41,男,已婚,19,私人,1,有,无防盗装置,国产,4377.4
1.8,40,男,已婚,19,私人,1,有,无防盗装置,进口,0
2,40,男,已婚,19,公司,1,有,无防盗装置,国产,0
2,40,男,已婚,19,私人,1,有,无防盗装置,进口,0
2.2,38,男,已婚,19,私人,1,有,无防盗装置,进口,0
1.8,41,男,已婚,18,公司,10,有,无防盗装置,国产,0
1.6,47,男,已婚,18,公司,7,有,无防盗装置,国产,0
1.8,46,男,已婚,18,私人,7,有,无防盗装置,国产,0
1.8,44,男,已婚,18,政府,7,有,无防盗装置,国产,0
2,42,男,已婚,18,公司,7,有,无防盗装置,进口,0
2.2,41,男,已婚,18,政府,7,有,无防盗装置,进口,0
1.8,52,男,已婚,18,公司,6,有,无防盗装置,国产,0
1.8,48,男,已婚,18,政府,6,有,有防盗装置,国产,0
1.6,44,男,已婚,18,公司,6,有,无防盗装置,国产,3636
1.6,41,男,已婚,18,公司,6,有,有防盗装置,国产,0
1,47,男,已婚,18,政府,5,有,无防盗装置,国产,0
1.8,46,男,已婚,18,政府,5,有,无防盗装置,国产,0
2,40,男,已婚,18,公司,5,有,有防盗装置,进口,0
1.8,47,男,已婚,18,政府,4,有,无防盗装置,国产,0
1.8,42,男,已婚,18,公司,4,有,无防盗装置,国产,0
1.2,39,男,已婚,18,政府,4,有,无防盗装置,国产,0
1.8,39,男,已婚,18,政府,4,有,有防盗装置,进口,0
1.8,48,男,已婚,18,公司,3,有,无防盗装置,国产,0
1.8,47,男,已婚,18,私人,3,有,无防盗装置,国产,0
1.6,44,男,已婚,18,政府,3,有,无防盗装置,国产,0
1.6,37,男,已婚,18,政府,3,有,有防盗装置,国产,0
1.8,44,男,已婚,18,政府,2,有,无防盗装置,国产,0
1.6,41,男,已婚,18,私人,2,有,无防盗装置,国产,218
1.8,41,男,已婚,18,公司,2,有,有防盗装置,国产,0
2.2,38,男,已婚,18,公司,2,无,无防盗装置,进口,0
1.8,53,男,已婚,18,私人,1,有,无防盗装置,国产,0
1.8,50,男,已婚,18,公司,1,有,无防盗装置,国产,0
1,48,男,已婚,18,私人,1,有,无防盗装置,国产,0
2,48,男,已婚,18,政府,1,有,无防盗装置,国产,2229.3
1.3,47,男,已婚,18,私人,1,有,有防盗装置,国产,0
1.8,45,男,已婚,18,私人,1,有,无防盗装置,进口,320
1.6,44,男,已婚,18,私人,1,有,无防盗装置,国产,0
1.8,42,男,已婚,18,公司,1,无,无防盗装置,国产,0
1.6,41,男,已婚,18,公司,1,有,无防盗装置,进口,0
1.8,41,男,已婚,18,政府,1,有,无防盗装置,国产,616
2.5,40,男,已婚,18,私人,1,有,无防盗装置,进口,0
1.8,39,男,已婚,18,政府,1,有,无防盗装置,国产,0
2,39,男,已婚,18,政府,1,有,无防盗装置,国产,0
1.8,38,男,已婚,18,私人,1,有,有防盗装置,进口,0
1.8,37,男,已婚,18,公司,1,有,有防盗装置,进口,0
1.6,47,男,已婚,17,政府,10,有,无防盗装置,国产,3007.1
1.8,41,男,已婚,17,公司,10,有,无防盗装置,国产,0
2,38,男,已婚,17,公司,9,无,无防盗装置,国产,4696
1.8,36,男,已婚,17,政府,9,有,无防盗装置,进口,0
1.8,41,男,已婚,17,私人,8,有,无防盗装置,国产,0
1.6,51,男,已婚,17,公司,7,有,无防盗装置,国产,0
3,45,男,已婚,17,公司,7,有,无防盗装置,进口,0
2,44,男,已婚,17,公司,7,有,无防盗装置,国产,0
1.8,41,男,已婚,17,政府,7,有,无防盗装置,国产,0
1.8,47,男,已婚,17,公司,6,无,无防盗装置,国产,0
2.2,45,男,已婚,17,公司,6,有,无防盗装置,国产,0
1.8,43,男,已婚,17,私人,6,无,无防盗装置,国产,17166
2,36,男,已婚,17,政府,6,无,无防盗装置,进口,0
1.8,58,男,已婚,17,私人,5,无,无防盗装置,国产,0
2,48,男,已婚,17,公司,5,无,无防盗装置,进口,0
1.8,46,男,已婚,17,公司,5,无,无防盗装置,进口,0
1.8,44,男,已婚,17,政府,5,有,无防盗装置,国产,2560
2,44,男,已婚,17,政府,5,有,无防盗装置,国产,0
1.8,40,男,已婚,17,政府,5,有,无防盗装置,国产,0
1.6,39,男,已婚,17,政府,5,有,无防盗装置,国产,0
1.8,38,男,已婚,17,公司,5,有,有防盗装置,国产,0
2.2,53,男,已婚,17,私人,4,有,无防盗装置,国产,0
1.8,47,男,已婚,17,私人,4,有,无防盗装置,国产,2200
1.8,46,男,已婚,17,政府,4,有,无防盗装置,国产,0
2,44,男,已婚,17,政府,4,有,无防盗装置,进口,0
1.8,43,男,已婚,17,公司,4,无,无防盗装置,国产,0
1.8,40,男,已婚,17,公司,4,无,无防盗装置,进口,0
1.8,40,男,已婚,17,私人,4,有,有防盗装置,国产,0
1.8,38,男,已婚,17,私人,4,有,无防盗装置,国产,0
1.8,37,男,已婚,17,公司,4,有,无防盗装置,国产,0
1.8,50,男,已婚,17,公司,3,有,无防盗装置,国产,0
1.8,48,男,已婚,17,私人,3,有,无防盗装置,国产,904
1.6,45,男,已婚,17,私人,3,有,无防盗装置,国产,0
1.8,44,男,已婚,17,政府,3,有,无防盗装置,国产,0
2,41,男,已婚,17,私人,3,有,无防盗装置,进口,0
1.8,39,男,已婚,17,公司,3,有,无防盗装置,国产,0
3,39,男,已婚,17,私人,3,无,无防盗装置,进口,0
3,38,男,已婚,17,公司,3,有,无防盗装置,进口,0
1.6,46,男,已婚,17,私人,2,有,无防盗装置,国产,0
2,46,男,已婚,17,公司,2,有,无防盗装置,进口,0
1.8,45,男,已婚,17,政府,2,有,无防盗装置,国产,0
1,41,男,已婚,17,公司,2,有,无防盗装置,进口,0
1.8,40,男,已婚,17,私人,2,无,无防盗装置,国产,0
1.1,38,男,已婚,17,政府,2,有,无防盗装置,国产,0
1.8,52,男,已婚,17,公司,1,无,有防盗装置,国产,0
1.8,52,男,已婚,17,公司,1,无,有防盗装置,国产,0
1.8,51,男,已婚,17,私人,1,无,有防盗装置,国产,0
1.8,50,男,已婚,17,私人,1,有,有防盗装置,进口,5457.8
1.6,48,男,已婚,17,私人,1,有,无防盗装置,国产,352.5
1.8,47,男,已婚,17,私人,1,有,无防盗装置,国产,0
1.8,47,男,已婚,17,公司,1,有,无防盗装置,国产,0
2,47,男,已婚,17,私人,1,有,有防盗装置,国产,544
1.8,46,男,已婚,17,私人,1,有,无防盗装置,国产,0
2,45,男,已婚,17,政府,1,有,无防盗装置,进口,0
1.6,44,男,已婚,17,私人,1,有,无防盗装置,国产,0
1.8,43,男,已婚,17,政府,1,有,无防盗装置,国产,0
1.8,43,男,已婚,17,私人,1,无,无防盗装置,国产,0
2.4,43,男,已婚,17,私人,1,有,有防盗装置,进口,816
1.8,42,男,已婚,17,私人,1,有,有防盗装置,国产,13102
2,42,男,已婚,17,政府,1,有,无防盗装置,国产,0
1.6,41,男,已婚,17,公司,1,有,无防盗装置,国产,0
1.8,41,女,已婚,17,私人,1,有,无防盗装置,进口,0
1.8,41,男,已婚,17,公司,1,有,无防盗装置,国产,0
1.8,40,男,已婚,17,私人,1,有,无防盗装置,国产,0
1.8,40,男,已婚,17,私人,1,有,有防盗装置,国产,208
2,40,男,已婚,17,公司,1,有,无防盗装置,国产,0
2,40,男,已婚,17,私人,1,无,有防盗装置,国产,0
2,40,男,已婚,17,政府,1,有,有防盗装置,进口,280
2.3,40,男,已婚,17,公司,1,有,有防盗装置,进口,3178.6
2.8,40,男,已婚,17,公司,1,有,无防盗装置,进口,800
1.8,39,男,已婚,17,私人,1,有,有防盗装置,国产,5853.6
2,39,男,已婚,17,私人,1,有,有防盗装置,国产,0
1.3,38,男,已婚,17,私人,1,有,无防盗装置,国产,0
2,38,男,已婚,17,公司,1,有,有防盗装置,进口,0
2.3,38,男,已婚,17,公司,1,有,有防盗装置,进口,0
1.8,37,男,已婚,17,私人,1,无,无防盗装置,国产,0
2,37,男,已婚,17,私人,1,有,有防盗装置,进口,2545.2
1.8,36,男,已婚,17,公司,1,有,无防盗装置,国产,0
2.8,36,男,已婚,17,私人,1,无,有防盗装置,国产,0
1.8,35,男,已婚,17,政府,1,有,无防盗装置,国产,0
1.6,37,男,已婚,16,私人,10,有,无防盗装置,国产,0
1.6,37,男,已婚,16,公司,10,有,无防盗装置,国产,240
2,38,男,已婚,16,政府,9,无,无防盗装置,进口,0
1.8,54,男,已婚,16,公司,8,有,无防盗装置,国产,0
1.6,53,男,已婚,16,公司,8,有,无防盗装置,国产,0
2,48,男,已婚,16,公司,8,有,有防盗装置,进口,0
1.8,38,男,已婚,16,公司,8,有,无防盗装置,进口,0
1.6,35,男,已婚,16,公司,8,有,无防盗装置,国产,0
1.8,54,男,已婚,16,公司,7,有,无防盗装置,国产,0
2.2,50,男,已婚,16,政府,7,无,无防盗装置,进口,0
1.8,49,男,已婚,16,私人,7,有,无防盗装置,进口,0
2.5,46,男,已婚,16,政府,7,有,无防盗装置,国产,0
1.6,45,男,已婚,16,政府,7,有,有防盗装置,国产,0
1.2,40,男,已婚,16,私人,7,有,无防盗装置,国产,386
1.8,38,男,已婚,16,公司,7,有,无防盗装置,进口,0
2,50,男,已婚,16,公司,6,无,无防盗装置,进口,0
1.8,40,男,已婚,16,公司,6,有,无防盗装置,国产,0
2,39,男,已婚,16,公司,6,无,无防盗装置,国产,0
1.8,37,男,已婚,16,私人,6,有,无防盗装置,国产,0
2,35,男,已婚,16,政府,6,无,有防盗装置,国产,0
1.8,54,男,已婚,16,私人,5,有,无防盗装置,国产,0
1.8,38,男,已婚,16,私人,5,有,无防盗装置,国产,0
1.8,52,男,已婚,16,公司,4,有,无防盗装置,国产,8699.4
1.8,38,男,已婚,16,私人,4,有,无防盗装置,国产,0
2,38,男,已婚,16,公司,4,有,无防盗装置,进口,0
1.8,36,男,已婚,16,私人,4,有,无防盗装置,国产,0
1.8,36,男,已婚,16,政府,4,无,无防盗装置,国产,0
1.8,41,男,已婚,16,政府,3,有,有防盗装置,国产,0
2,41,男,已婚,16,政府,3,无,无防盗装置,进口,0
2.2,41,男,已婚,16,政府,3,无,无防盗装置,进口,0
1.8,39,男,已婚,16,政府,3,有,无防盗装置,国产,0
1.8,39,男,已婚,16,公司,3,有,无防盗装置,国产,240
1.6,38,男,已婚,16,私人,3,有,无防盗装置,国产,0
1.8,38,男,已婚,16,私人,3,有,有防盗装置,国产,0
2,38,男,已婚,16,政府,3,无,无防盗装置,进口,0
1.8,37,男,已婚,16,政府,3,无,无防盗装置,国产,212
1.6,35,男,已婚,16,政府,3,有,无防盗装置,国产,0
2,54,男,已婚,16,私人,2,有,有防盗装置,国产,1208
1.8,40,男,已婚,16,公司,2,有,有防盗装置,国产,0
1.8,40,女,已婚,16,私人,2,有,无防盗装置,国产,0
1.6,39,男,已婚,16,公司,2,有,无防盗装置,进口,0
1.8,37,男,已婚,16,公司,2,有,无防盗装置,进口,0
1.8,36,男,已婚,16,私人,2,有,有防盗装置,国产,0
2,36,男,已婚,16,私人,2,有,无防盗装置,国产,0
2,36,男,已婚,16,公司,2,有,无防盗装置,进口,0
1.6,49,男,已婚,16,私人,1,有,无防盗装置,进口,0
1.8,47,男,已婚,16,私人,1,有,无防盗装置,国产,0
1.6,46,男,已婚,16,私人,1,有,无防盗装置,国产,0
1.8,46,男,已婚,16,公司,1,有,无防盗装置,国产,0
2.4,42,男,已婚,16,私人,1,有,无防盗装置,进口,960
1.8,41,男,已婚,16,政府,1,无,无防盗装置,国产,0
2.2,41,男,已婚,16,政府,1,有,无防盗装置,进口,2240
1.6,40,男,已婚,16,私人,1,有,无防盗装置,国产,0
1.6,40,男,已婚,16,公司,1,有,无防盗装置,国产,0
1.8,39,男,已婚,16,私人,1,有,有防盗装置,进口,0
1.8,39,男,已婚,16,公司,1,有,无防盗装置,国产,0
1.8,39,男,已婚,16,公司,1,有,无防盗装置,进口,0
2,39,男,已婚,16,私人,1,有,无防盗装置,进口,0
2.3,39,男,已婚,16,私人,1,有,无防盗装置,进口,2928
1.8,37,男,已婚,16,私人,1,无,有防盗装置,国产,0
2,37,男,已婚,16,公司,1,有,无防盗装置,进口,0
1.8,36,男,已婚,16,公司,1,有,无防盗装置,国产,0
1.8,36,男,已婚,16,私人,1,有,无防盗装置,进口,0
1.8,35,男,已婚,16,私人,1,有,无防盗装置,国产,0
1.8,35,男,已婚,16,公司,1,有,无防盗装置,进口,0
1.8,34,男,已婚,16,政府,1,有,无防盗装置,进口,2910.4
1.8,46,男,已婚,15,公司,10,有,无防盗装置,国产,0
1.5,40,男,已婚,15,公司,10,有,有防盗装置,进口,0
3,36,男,已婚,15,政府,10,有,有防盗装置,进口,0
3,38,男,已婚,15,公司,9,无,无防盗装置,进口,1040
2,43,男,已婚,15,公司,8,有,无防盗装置,进口,0
3,43,男,已婚,15,公司,8,有,无防盗装置,进口,0
1.6,41,男,已婚,15,私人,7,无,无防盗装置,国产,896
1.8,41,男,已婚,15,公司,7,有,无防盗装置,进口,0
1.8,41,男,已婚,15,私人,7,有,无防盗装置,国产,0
1.6,33,男,已婚,15,私人,7,有,无防盗装置,国产,0
1.6,42,男,已婚,15,政府,6,有,无防盗装置,国产,400
1.6,41,男,已婚,15,私人,6,有,无防盗装置,国产,239.2
1.8,41,男,已婚,15,公司,6,无,无防盗装置,国产,0
1.6,39,男,已婚,15,公司,6,有,无防盗装置,国产,0
1.8,37,男,已婚,15,政府,6,有,无防盗装置,国产,0
1.6,36,男,已婚,15,私人,6,有,无防盗装置,国产,0
1.8,52,男,已婚,15,私人,5,有,有防盗装置,国产,1814.4
2,51,男,已婚,15,公司,5,无,无防盗装置,国产,0
2.2,41,男,已婚,15,公司,5,有,无防盗装置,进口,5184
1.8,40,男,已婚,15,私人,5,有,无防盗装置,国产,0
2.2,40,男,已婚,15,私人,5,有,无防盗装置,进口,0
1.8,39,男,已婚,15,政府,5,有,无防盗装置,国产,0
2,39,男,已婚,15,政府,5,有,无防盗装置,国产,872
1.8,38,男,已婚,15,政府,5,无,无防盗装置,国产,0
1.8,46,男,已婚,15,公司,4,有,无防盗装置,国产,0
2,40,男,已婚,15,公司,4,无,无防盗装置,国产,2711.5
2,39,男,已婚,15,私人,4,有,无防盗装置,进口,0
1.8,35,男,已婚,15,公司,4,有,无防盗装置,国产,0
1.8,62,男,已婚,15,公司,3,有,无防盗装置,国产,0
1.8,50,男,已婚,15,公司,3,有,无防盗装置,国产,0
1.6,49,男,已婚,15,私人,3,有,无防盗装置,国产,0
1.8,49,男,已婚,15,私人,3,有,无防盗装置,进口,0
2,49,男,已婚,15,公司,3,有,无防盗装置,国产,0
3,44,男,已婚,15,政府,3,有,无防盗装置,进口,0
1.8,40,男,已婚,15,公司,3,无,无防盗装置,国产,0
1.8,37,男,已婚,15,政府,3,有,无防盗装置,国产,0
2,49,男,已婚,15,私人,2,有,有防盗装置,进口,2846
2.3,49,男,已婚,15,私人,2,有,有防盗装置,进口,0
1.8,48,男,已婚,15,公司,2,有,无防盗装置,进口,0
1.6,47,男,已婚,15,公司,2,有,有防盗装置,国产,0
1.6,46,男,已婚,15,私人,2,无,无防盗装置,国产,0
1.8,45,男,已婚,15,公司,2,有,无防盗装置,国产,160
1.8,41,男,已婚,15,私人,2,无,有防盗装置,国产,0
1.8,36,男,已婚,15,政府,2,有,无防盗装置,国产,0
1.6,52,男,已婚,15,私人,1,有,无防盗装置,国产,0
1.8,48,男,已婚,15,私人,1,有,有防盗装置,国产,0
1.6,44,男,已婚,15,公司,1,有,无防盗装置,国产,0
2.8,44,男,已婚,15,公司,1,有,有防盗装置,进口,0
2.8,43,男,已婚,15,公司,1,有,无防盗装置,进口,0
1.6,41,男,已婚,15,公司,1,有,无防盗装置,国产,0
1.8,41,男,已婚,15,私人,1,有,无防盗装置,国产,0
1.8,41,男,已婚,15,私人,1,有,无防盗装置,进口,0
2,41,男,已婚,15,私人,1,有,无防盗装置,进口,2484
1.8,40,男,已婚,15,政府,1,有,有防盗装置,国产,0
1.5,39,男,已婚,15,公司,1,有,无防盗装置,国产,0
1.6,38,男,已婚,15,公司,1,无,无防盗装置,国产,0
2.4,38,女,已婚,15,私人,1,有,有防盗装置,进口,0
1.8,37,男,已婚,15,公司,1,有,有防盗装置,国产,0
1.8,37,男,已婚,15,私人,1,有,无防盗装置,国产,0
2,37,男,已婚,15,公司,1,无,无防盗装置,进口,3040
1.8,36,男,已婚,15,公司,1,有,有防盗装置,国产,0
1.8,36,男,已婚,15,私人,1,有,有防盗装置,国产,384
1.6,35,女,已婚,15,私人,1,有,无防盗装置,国产,0
1.8,35,男,已婚,15,私人,1,有,有防盗装置,国产,0
1.8,35,男,已婚,15,公司,1,有,无防盗装置,国产,340.5
1.8,34,男,已婚,15,私人,1,无,无防盗装置,国产,0
2.4,34,男,已婚,15,私人,1,有,无防盗装置,进口,0
1.8,44,男,已婚,14,私人,10,有,无防盗装置,国产,4376
1.8,41,男,已婚,14,私人,10,无,有防盗装置,国产,0
1.6,45,男,已婚,14,公司,9,无,无防盗装置,国产,0
1.8,38,男,已婚,14,政府,9,有,有防盗装置,国产,0
1.8,55,男,已婚,14,公司,8,无,无防盗装置,国产,0
1.8,37,男,已婚,14,公司,8,有,无防盗装置,进口,0
2,34,男,已婚,14,公司,8,有,无防盗装置,进口,0
2,33,男,已婚,14,政府,8,有,无防盗装置,进口,0
1.8,56,男,已婚,14,政府,7,无,有防盗装置,国产,0
1.6,54,男,已婚,14,私人,7,有,无防盗装置,国产,0
2,49,男,已婚,14,私人,7,有,无防盗装置,进口,2257.7
1.6,48,男,已婚,14,政府,7,无,无防盗装置,进口,0
1.8,36,男,已婚,14,公司,7,无,无防盗装置,国产,344
1.8,34,男,已婚,14,公司,7,有,无防盗装置,国产,0
2,34,女,已婚,14,公司,7,无,有防盗装置,国产,0
1.8,46,男,已婚,14,政府,6,无,无防盗装置,国产,0
1.8,42,男,已婚,14,政府,6,有,无防盗装置,国产,0
1.8,41,男,已婚,14,政府,6,无,无防盗装置,国产,2112
1.6,38,男,已婚,14,政府,6,无,无防盗装置,国产,0
1.8,38,男,已婚,14,公司,6,无,无防盗装置,进口,0
1.6,35,男,已婚,14,政府,6,有,无防盗装置,国产,0
1.8,49,男,已婚,14,政府,5,有,无防盗装置,进口,0
1.8,43,男,已婚,14,政府,5,有,无防盗装置,国产,0
2,39,男,已婚,14,公司,5,有,无防盗装置,国产,2640
1.8,38,男,已婚,14,公司,5,有,无防盗装置,国产,0
1.8,33,男,已婚,14,公司,5,有,无防盗装置,国产,0
1.8,49,男,已婚,14,公司,4,有,无防盗装置,国产,864
1.8,40,男,已婚,14,政府,4,无,无防盗装置,国产,0
2,38,男,已婚,14,公司,4,有,有防盗装置,进口,0
1.8,36,男,已婚,14,公司,4,有,无防盗装置,进口,576
1.8,36,男,已婚,14,公司,4,有,无防盗装置,国产,1664
1.8,35,男,已婚,14,私人,4,有,有防盗装置,进口,0
1.6,34,男,已婚,14,公司,4,有,无防盗装置,国产,0
1.8,33,男,已婚,14,私人,4,有,无防盗装置,国产,0
2,53,男,已婚,14,公司,3,无,无防盗装置,国产,894.2
1.8,49,男,已婚,14,私人,3,有,无防盗装置,国产,0
1,47,男,已婚,14,公司,3,无,无防盗装置,国产,31893
1.8,39,男,已婚,14,私人,3,无,有防盗装置,国产,955.2
1.6,38,男,已婚,14,公司,3,有,无防盗装置,国产,0
2,38,男,已婚,14,公司,3,无,无防盗装置,国产,30480
1.8,36,男,已婚,14,政府,3,有,无防盗装置,国产,0
1.6,34,男,已婚,14,政府,3,有,有防盗装置,国产,426.7
1.8,48,男,已婚,14,公司,2,有,无防盗装置,进口,0
1.8,42,男,已婚,14,公司,2,有,无防盗装置,国产,0
1.8,41,男,已婚,14,私人,2,无,无防盗装置,国产,583.3
2,40,男,已婚,14,公司,2,无,无防盗装置,国产,0
1.8,38,男,已婚,14,政府,2,有,有防盗装置,国产,1604
1.8,37,男,已婚,14,公司,2,有,无防盗装置,国产,0
1.8,37,男,已婚,14,政府,2,无,无防盗装置,进口,0
2,37,男,已婚,14,私人,2,有,无防盗装置,进口,10880
1.6,36,男,已婚,14,私人,2,有,无防盗装置,国产,0
2,35,男,已婚,14,公司,2,有,无防盗装置,国产,0
1.6,34,男,已婚,14,私人,2,有,无防盗装置,进口,0
1.8,34,男,已婚,14,政府,2,有,无防盗装置,国产,0
2.4,56,男,已婚,14,私人,1,有,有防盗装置,进口,0
1.5,52,男,已婚,14,私人,1,有,无防盗装置,国产,374
1.8,50,男,已婚,14,私人,1,有,有防盗装置,国产,0
2.3,49,男,已婚,14,私人,1,有,有防盗装置,进口,0
1.6,48,男,已婚,14,公司,1,有,无防盗装置,国产,0
1.6,45,男,已婚,14,私人,1,有,无防盗装置,国产,593.9
1,44,男,已婚,14,私人,1,有,无防盗装置,国产,0
1,41,女,已婚,14,私人,1,有,有防盗装置,国产,0
1.6,41,男,已婚,14,私人,1,有,无防盗装置,国产,4271.2
1.8,41,男,已婚,14,私人,1,无,有防盗装置,国产,0
2.8,40,男,已婚,14,私人,1,有,有防盗装置,国产,0
1.8,39,男,已婚,14,私人,1,有,有防盗装置,国产,2549.5
2.8,39,男,已婚,14,公司,1,有,无防盗装置,进口,0
3,38,男,已婚,14,公司,1,有,有防盗装置,进口,0
1.8,37,男,已婚,14,私人,1,有,无防盗装置,国产,1616
2,37,男,已婚,14,政府,1,有,无防盗装置,进口,0
2,36,男,已婚,14,公司,1,有,无防盗装置,进口,480
1.8,35,男,已婚,14,政府,1,有,无防盗装置,国产,696
2,35,女,已婚,14,私人,1,有,有防盗装置,进口,1216
2.4,35,男,已婚,14,公司,1,有,无防盗装置,进口,0
1.6,34,男,已婚,14,私人,1,无,无防盗装置,国产,0
2,34,男,已婚,14,私人,1,有,无防盗装置,进口,0
1.8,33,男,已婚,14,政府,1,有,无防盗装置,进口,0
2,33,男,已婚,14,公司,1,有,无防盗装置,进口,0
2.5,33,男,已婚,14,私人,1,有,无防盗装置,进口,0
1.6,43,男,已婚,13,私人,10,有,无防盗装置,国产,0
1.8,36,男,已婚,13,政府,10,有,无防盗装置,国产,637.6
1.8,40,男,已婚,13,私人,9,有,无防盗装置,国产,320
1.8,40,男,已婚,13,公司,9,有,无防盗装置,国产,3920
1.8,39,男,已婚,13,公司,8,无,无防盗装置,进口,0
1.8,37,男,已婚,13,私人,8,有,无防盗装置,国产,0
1.8,33,男,已婚,13,政府,8,无,无防盗装置,进口,0
1.8,41,男,已婚,13,政府,7,有,无防盗装置,国产,0
1.6,39,男,已婚,13,私人,7,有,无防盗装置,国产,0
1.8,35,男,已婚,13,政府,7,有,无防盗装置,国产,1720
1.8,34,女,已婚,13,公司,7,有,有防盗装置,国产,0
2,55,男,已婚,13,政府,6,无,无防盗装置,进口,0
2,44,男,已婚,13,公司,6,无,无防盗装置,国产,0
1,33,男,已婚,13,私人,6,无,无防盗装置,国产,578.7
1.8,50,男,已婚,13,政府,5,有,无防盗装置,国产,0
1.8,45,男,已婚,13,政府,5,有,无防盗装置,国产,0
1.6,41,男,已婚,13,政府,5,有,有防盗装置,国产,0
1.8,41,男,已婚,13,公司,5,有,无防盗装置,国产,0
1.8,37,男,已婚,13,私人,5,有,无防盗装置,国产,0
1.8,34,男,已婚,13,政府,5,有,无防盗装置,国产,0
1.8,34,男,已婚,13,政府,5,有,无防盗装置,国产,0
1.6,32,男,已婚,13,政府,5,有,有防盗装置,国产,0
2,38,男,已婚,13,公司,4,无,无防盗装置,进口,0
1.6,36,女,已婚,13,政府,4,无,无防盗装置,国产,0
1.8,34,男,已婚,13,政府,4,有,无防盗装置,国产,0
1.8,50,男,已婚,13,私人,3,有,无防盗装置,国产,0
3,45,男,已婚,13,公司,3,有,有防盗装置,进口,2904
1.8,44,男,已婚,13,私人,3,有,有防盗装置,国产,0
1.8,42,男,已婚,13,政府,3,有,无防盗装置,国产,5184
2,41,男,已婚,13,公司,3,无,无防盗装置,国产,0
2,39,男,已婚,13,公司,3,有,无防盗装置,国产,0
1.8,37,男,已婚,13,公司,3,有,无防盗装置,进口,0
1.8,35,男,已婚,13,公司,3,无,无防盗装置,国产,0
2.5,35,男,已婚,13,公司,3,有,有防盗装置,进口,20280
1.8,54,女,已婚,13,公司,2,无,无防盗装置,国产,0
1.8,41,男,已婚,13,公司,2,有,有防盗装置,进口,0
1.8,36,女,已婚,13,政府,2,无,无防盗装置,国产,0
1.8,36,男,已婚,13,政府,2,无,无防盗装置,进口,0
