dist,roomnum,halls,AREA,floor,subway,school,price
shijingshan,2,1,60.77,high,1,0,36203
shijingshan,2,1,58.6,middle,1,0,35837
shijingshan,2,1,73,high,1,0,35617
shijingshan,2,1,60.77,low,1,1,35380
shijingshan,2,1,59.6,high,1,0,35235
shijingshan,2,1,58.87,middle,1,0,35163
shijingshan,2,1,58.45,high,1,0,35073
shijingshan,2,1,58.59,high,1,0,34989
shijingshan,2,1,73,high,1,0,32192
shijingshan,2,1,72.73,low,1,0,31624
shijingshan,2,1,59,high,1,0,30848
haidian,2,1,57.97,high,1,1,77627
haidian,2,1,55.4,high,1,1,75452
haidian,1,1,43.6,high,1,1,73395
haidian,2,1,56.3,middle,1,1,72825
haidian,3,1,79.3,high,1,1,71879
haidian,3,1,68,high,1,1,71030
haidian,2,1,56.1,middle,1,1,70945
haidian,2,1,54,high,1,1,70371
haidian,2,1,56.9,middle,1,1,68542
haidian,1,1,47.59,middle,1,1,66401
haidian,3,1,68.4,high,1,1,65790
haidian,2,1,57.2,low,1,1,62063
chaoyang,2,1,62.5,high,1,0,40320
chaoyang,2,1,80.9,low,1,0,38567
haidian,3,1,65.24,low,1,1,109596
xicheng,2,2,181,low,1,0,71824
xicheng,2,1,58.7,middle,1,1,76661
xicheng,2,1,58.6,high,1,1,75086
xicheng,2,1,60,high,1,1,75000
xicheng,2,1,58.71,low,1,1,74093
xicheng,2,1,59.16,high,1,1,72685
xicheng,2,1,58.7,high,1,1,72062
xicheng,2,1,53.76,middle,1,1,74405
xicheng,2,1,54,high,1,1,70371
xicheng,1,0,30.67,middle,1,0,84774
xicheng,2,1,72.91,low,1,0,72693
xicheng,1,2,59.7,low,1,0,72027
xicheng,2,2,76,high,1,0,66448
xicheng,2,1,62,middle,1,0,64517
xicheng,3,2,127.12,low,1,0,79925
xicheng,2,1,97.73,low,1,0,61394
dongcheng,2,1,57.68,middle,1,1,70215
dongcheng,2,1,57.86,middle,1,1,60491
xicheng,1,1,36.9,high,1,1,113822
xicheng,2,1,63.5,low,1,1,106772
xicheng,2,1,48.1,middle,1,1,106030
xicheng,2,1,64.5,high,1,1,102326
xicheng,2,1,59.2,high,1,1,101352
xicheng,2,1,53.3,middle,1,1,99438
xicheng,2,1,53.3,low,1,1,99438
xicheng,2,1,63.5,low,1,1,99213
xicheng,2,1,49,middle,1,1,97960
xicheng,2,1,64.5,middle,1,1,97675
xicheng,1,1,53.8,high,1,1,96655
xicheng,1,1,52.8,low,1,1,96591
xicheng,2,1,54.9,high,1,1,95629
xicheng,2,1,55.7,high,1,1,95153
xicheng,2,1,55,middle,1,1,94910
xicheng,2,1,68,middle,1,1,92648
xicheng,1,1,57.1,low,1,1,91069
xicheng,2,1,73.7,middle,1,1,90231
xicheng,2,1,59,middle,1,1,89831
xicheng,3,1,81.4,high,1,1,88453
xicheng,1,1,57.4,middle,1,1,83624
